nlimbs bitwidth real user sys mem
9 32 44.62 44.15 0.46 1094916
9 32 45.95 45.47 0.47 1091096
9 32 44.89 44.36 0.52 1097752
9 32 44.81 44.31 0.49 1104272
9 32 46.29 45.78 0.51 1090296
9 32 44.63 44.14 0.49 1095820
9 64 47.62 47.14 0.47 1115632
9 64 46.33 45.84 0.49 1083764
9 64 46.30 45.82 0.47 1107884
9 64 48.19 47.70 0.47 1123768
9 64 46.12 45.52 0.59 1097360
9 64 47.43 46.91 0.50 1121988
9 64 46.86 46.25 0.53 1121560
9 64 45.53 45.00 0.52 1096284
9 64 48.04 47.51 0.51 1106960
10 32 77.06 76.37 0.67 1412312
10 32 116.22 115.11 1.11 2071540
10 32 54.41 53.72 0.62 1211584
10 32 54.32 53.74 0.58 1200164
10 32 50.81 50.27 0.53 1188948
10 32 53.83 53.24 0.57 1189756
10 32 52.74 52.11 0.56 1191888
10 32 52.64 52.10 0.53 1212380
10 32 54.16 53.35 0.72 1212688
10 32 52.48 51.89 0.59 1193804
10 64 54.41 53.86 0.53 1212540
10 64 121.47 120.35 1.10 2092628
10 64 115.80 114.51 1.15 2089380
10 64 118.93 117.78 1.14 2127764
10 64 56.63 56.11 0.52 1213100
10 64 57.08 56.55 0.52 1212296
10 64 54.27 53.58 0.60 1212012
10 64 57.29 56.72 0.55 1215380
10 64 57.60 56.98 0.61 1212508
10 64 57.27 56.62 0.63 1213328
10 64 56.71 56.08 0.62 1213424
11 32 67.29 66.61 0.67 1297100
11 32 67.41 66.72 0.66 1293364
11 32 67.78 67.02 0.68 1309568
11 32 65.31 64.66 0.65 1318032
11 32 65.26 64.57 0.61 1315724
11 32 65.11 64.52 0.59 1313080
11 64 70.32 69.72 0.59 1333256
11 64 68.43 67.72 0.70 1333520
11 64 70.31 69.66 0.64 1326084
12 32 79.95 79.06 0.79 1472808
12 32 80.17 79.48 0.68 1446256
12 32 108.57 107.78 0.79 1721064
12 32 79.75 79.05 0.70 1449984
12 32 79.77 79.06 0.68 1467884
12 32 79.92 79.10 0.80 1469852
12 32 172.71 171.36 1.33 2919712
12 32 77.54 76.81 0.71 1456520
13 32 92.45 91.66 0.79 1568476
13 32 127.68 126.65 1.01 1963024
13 32 93.32 92.67 0.65 1573072
13 32 89.63 88.87 0.75 1554280
13 32 89.94 89.01 0.83 1523988
13 32 90.21 89.36 0.83 1559456
14 32 250.74 248.46 2.26 4289832
14 32 105.36 104.27 0.96 1746328
14 32 112.31 111.38 0.91 1795856
15 32 123.40 122.02 1.21 1952364
15 32 127.88 126.87 1.00 1952448
15 32 128.53 127.34 1.04 2042224
15 32 128.59 127.59 0.99 1951492
16 32 156.60 155.52 1.06 2216520
16 32 150.75 149.51 1.23 2321996
16 32 156.40 155.19 1.20 2194000
16 32 156.58 155.53 1.04 2360724
16 32 156.39 155.35 1.00 2168456
16 32 156.69 155.58 1.09 2343584
16 32 151.58 150.44 1.13 2367420
16 32 151.55 150.28 1.26 2344192
16 32 156.79 155.47 1.13 2299596
16 32 374.53 371.55 2.95 5607372
16 32 366.29 363.50 2.79 5740236
17 32 177.60 176.36 1.22 2513800
17 32 170.03 168.78 1.24 2513428
17 32 178.31 176.66 1.43 2514152
17 32 177.14 175.87 1.25 2514040
17 32 170.94 169.72 1.21 2480980
17 32 176.99 175.80 1.18 2513088
17 32 178.23 176.35 1.30 2578336
17 32 178.65 177.47 1.17 2537892
