bitwidth nlimbs real user sys mem
32 9 18.06 17.72 0.34 788532
32 9 18.05 17.76 0.29 785820
32 9 18.06 17.73 0.32 786808
32 9 18.52 18.20 0.31 787964
32 9 18.82 18.47 0.32 785508
32 9 18.53 18.16 0.35 787160
32 9 18.07 17.80 0.26 787600
32 9 18.19 17.84 0.33 787108
32 9 18.72 18.36 0.36 786112
32 9 18.30 17.94 0.34 787004
32 9 18.96 18.65 0.30 787712
64 9 19.12 18.85 0.26 787908
64 9 20.24 19.87 0.37 788024
64 9 19.56 19.19 0.34 788760
64 9 19.81 19.50 0.30 789352
64 9 19.83 19.48 0.34 788300
64 9 19.98 19.62 0.33 789860
64 9 20.11 19.76 0.34 788756
64 9 19.74 19.44 0.30 788688
64 9 20.24 19.91 0.30 789136
64 9 20.41 20.05 0.29 788656
64 9 20.26 20.02 0.23 788476
32 10 20.86 20.55 0.31 804920
32 10 20.82 20.56 0.25 806032
32 10 20.85 20.50 0.34 805904
32 10 20.40 20.05 0.34 802964
32 10 20.91 20.58 0.32 802396
32 10 20.98 20.62 0.35 802372
32 10 21.10 20.80 0.29 805388
32 10 21.19 20.75 0.42 806740
32 10 20.53 20.17 0.33 803116
32 10 21.14 20.79 0.34 804244
32 10 21.23 20.91 0.31 804864
64 10 21.67 21.34 0.32 803748
64 10 21.70 21.40 0.30 806000
64 10 22.54 22.22 0.32 808828
64 10 22.40 22.02 0.38 805628
64 10 22.47 22.09 0.37 810744
64 10 22.68 22.33 0.34 810264
64 10 22.82 22.40 0.39 808456
64 10 22.77 22.36 0.40 805432
64 10 22.75 22.37 0.35 804932
64 10 22.23 21.92 0.30 805100
64 10 22.78 22.37 0.35 814824
64 10 22.85 22.49 0.33 812444
32 11 22.94 22.57 0.35 823992
32 11 23.55 23.21 0.33 821452
32 11 23.81 23.43 0.35 818448
32 11 23.79 23.40 0.38 820296
32 11 23.10 22.80 0.28 825812
32 11 23.08 22.75 0.32 818004
32 11 23.81 23.47 0.30 821824
32 11 23.86 23.52 0.34 822524
64 11 25.47 25.14 0.33 823788
64 11 25.06 24.75 0.30 824452
64 11 25.58 25.22 0.36 823324
32 12 26.37 26.00 0.36 828508
32 12 26.59 26.25 0.32 836016
32 12 26.66 26.28 0.37 836480
32 12 26.38 26.01 0.37 836556
32 12 26.65 26.29 0.35 836000
32 12 26.84 26.56 0.27 836276
32 12 26.99 26.59 0.39 834112
32 12 27.13 26.78 0.35 833436
32 12 27.06 26.73 0.32 830848
32 13 30.14 29.76 0.37 861008
32 13 29.19 28.77 0.42 855540
32 13 29.71 29.33 0.37 866584
32 13 30.27 29.91 0.36 867048
32 13 29.81 29.41 0.38 862784
32 13 30.63 30.20 0.39 858932
32 14 33.28 32.91 0.36 897116
32 14 33.75 33.33 0.41 896620
32 14 32.92 32.55 0.36 898224
32 15 38.10 37.73 0.36 906288
32 15 38.50 38.10 0.39 926812
32 15 37.42 37.01 0.36 907840
32 15 38.34 37.97 0.36 906796
32 16 43.37 42.92 0.43 948404
32 16 43.26 42.83 0.41 950988
32 16 43.59 43.11 0.42 953884
32 16 43.92 43.40 0.46 957868
32 16 42.16 41.77 0.38 951260
32 16 43.40 43.06 0.33 947372
32 16 43.61 43.19 0.41 961772
32 16 43.57 43.19 0.37 947292
32 16 43.68 43.19 0.48 953968
32 16 44.18 43.71 0.46 967236
32 16 44.61 44.23 0.37 969560
32 17 49.41 49.00 0.41 985904
32 17 50.61 50.08 0.46 990836
32 17 50.43 50.02 0.40 987816
32 17 50.45 49.99 0.43 985980
32 17 50.40 49.95 0.44 991892
32 17 50.82 50.40 0.40 986716
32 17 50.93 50.45 0.47 991340
32 17 51.31 50.73 0.52 989412
32 17 51.56 51.11 0.44 985092
32 18 58.03 57.58 0.45 1045436
32 18 58.32 57.87 0.44 1023856
32 18 56.68 56.20 0.48 1022864
32 18 58.97 58.49 0.41 1050204
