kind bitwidth op nlimbs prime real user sys mem
montgomery 32 fenz 7 2e194m33 17.23 16.86 0.36 742100
montgomery 32 feopp 6 2e192m2e64m1 280.59 280.22 0.36 879088
montgomery 32 fesub 6 2e192m2e64m1 437.89 437.44 0.41 938680
montgomery 32 feadd 7 2e196m15 34.44 34.05 0.38 906444
montgomery 32 femul 6 2e192m2e64m1 589.15 583.91 4.57 10254580
montgomery 32 fenz 7 2e196m15 17.07 16.68 0.37 742040
montgomery 32 femul 7 2e194m33 1219.89 1212.62 7.21 19311808
montgomery 32 femul 7 2e196m15 1241.59 1233.41 7.78 19326576
montgomery 32 feadd 7 2e198m17 37.21 36.35 0.80 908020
montgomery 32 femul 7 2e198m17 1157.91 1150.01 7.86 19313044
montgomery 32 fenz 7 2e198m17 18.04 17.71 0.33 742024
montgomery 32 feopp 7 2e194m33 3316.15 3315.48 0.58 893104
montgomery 32 feopp 7 2e196m15 3333.81 3331.34 1.50 893144
montgomery 32 feadd 7 2e205m45x2e198m1 36.81 36.41 0.39 900932
montgomery 32 femul 7 2e205m45x2e198m1 1316.17 1304.74 9.60 19296248
montgomery 32 fenz 7 2e205m45x2e198m1 18.12 17.70 0.38 741988
montgomery 32 fesub 7 2e194m33 5499.52 5498.81 0.47 987548
montgomery 32 feopp 7 2e198m17 3400.56 3399.96 0.54 897112
montgomery 32 feadd 7 2e206m5 37.06 36.56 0.49 913556
montgomery 32 fesub 7 2e196m15 5577.60 5577.07 0.47 987568
montgomery 32 fenz 7 2e206m5 17.55 17.18 0.36 742300
montgomery 32 femul 7 2e206m5 1311.02 1301.95 8.98 19002384
montgomery 32 feopp 7 2e205m45x2e198m1 3431.03 3423.46 3.32 899584
montgomery 32 feadd 7 2e212m29 37.09 36.55 0.49 901144
montgomery 32 fesub 7 2e198m17 5546.81 5545.94 0.76 990928
montgomery 32 fenz 7 2e212m29 17.55 17.19 0.36 742068
montgomery 32 femul 7 2e212m29 1292.39 1283.98 8.33 19052752
montgomery 32 feopp 7 2e206m5 3391.92 3388.07 1.81 897296
montgomery 32 feadd 7 2e213m3 36.62 36.11 0.47 905028
montgomery 32 fesub 7 2e205m45x2e198m1 5573.40 5572.72 0.53 969708
montgomery 32 fenz 7 2e213m3 17.53 17.21 0.31 742492
montgomery 32 femul 7 2e213m3 1301.02 1292.78 8.19 19264932
montgomery 32 feopp 7 2e212m29 3385.27 3384.79 0.46 895256
montgomery 32 feadd 7 2e216m2e108m1 36.99 36.48 0.50 911212
montgomery 32 fesub 7 2e206m5 5566.44 5560.80 3.00 959604
montgomery 32 fenz 7 2e216m2e108m1 17.52 17.19 0.30 742276
montgomery 32 femul 7 2e216m2e108m1 1299.40 1290.63 8.67 19294252
montgomery 32 feopp 7 2e213m3 3421.85 3421.30 0.42 895700
montgomery 32 feadd 7 2e221m3 36.61 36.17 0.43 911472
montgomery 32 fesub 7 2e212m29 5548.59 5547.83 0.64 966336
montgomery 32 fenz 7 2e221m3 17.43 17.06 0.35 742068
montgomery 32 femul 7 2e221m3 1191.94 1183.17 8.69 19007756
montgomery 32 feopp 7 2e216m2e108m1 3419.25 3412.74 3.09 895256
montgomery 32 feadd 7 2e222m117 37.03 36.56 0.46 912408
montgomery 32 fesub 7 2e213m3 5571.16 5570.58 0.48 959580
montgomery 32 fenz 7 2e222m117 17.29 16.95 0.34 742276
montgomery 32 femul 7 2e222m117 1293.05 1282.19 9.14 18990852
montgomery 32 feopp 7 2e221m3 3401.69 3401.21 0.42 895276
montgomery 32 feadd 7 2e224m2e96p1 36.50 36.04 0.45 903600
montgomery 32 fesub 7 2e216m2e108m1 5599.75 5597.27 1.49 956512
montgomery 32 fenz 7 2e224m2e96p1 17.47 17.13 0.34 742052
montgomery 32 femul 7 2e224m2e96p1 1282.70 1274.65 8.00 19183064
montgomery 32 feopp 7 2e222m117 3384.66 3384.23 0.41 896520
montgomery 32 feadd 8 2e226m5 46.23 45.80 0.43 963316
montgomery 32 fesub 7 2e221m3 5568.19 5566.84 1.08 966528
montgomery 32 fenz 8 2e226m5 19.68 19.33 0.34 753172
montgomery 32 feopp 7 2e224m2e96p1 3356.83 3356.36 0.47 893296
montgomery 32 femul 8 2e226m5 2199.43 2186.38 13.00 34865884
montgomery 32 feadd 8 2e230m27 46.35 45.83 0.51 961820
montgomery 32 fesub 7 2e222m117 5551.29 5539.61 4.93 988540
montgomery 32 fenz 8 2e230m27 19.61 19.26 0.34 752888
montgomery 32 femul 8 2e230m27 2558.73 2544.38 14.27 34815948
montgomery 32 fesub 7 2e224m2e96p1 5493.27 5492.45 0.59 955656
montgomery 32 feadd 8 2e235m15 46.77 46.21 0.55 972784
montgomery 32 femul 8 2e235m15 2592.40 2578.62 13.63 34200996
montgomery 32 fenz 8 2e235m15 20.30 19.95 0.35 753056
montgomery 32 fenz 8 2e243m9 19.16 18.90 0.25 752844
montgomery 32 feadd 8 2e243m9 44.08 43.62 0.45 971380
montgomery 32 fenz 8 2e251m9 19.10 18.77 0.33 753356
montgomery 32 feadd 8 2e251m9 44.23 43.74 0.47 979644
montgomery 32 feadd 8 2e254m127x2e240m1 43.65 43.20 0.45 965272
montgomery 32 fenz 8 2e254m127x2e240m1 19.21 18.90 0.31 753648
montgomery 32 fenz 8 2e255m19 19.28 18.93 0.34 753536
montgomery 32 feadd 8 2e255m19 43.90 43.31 0.54 980968
montgomery 32 fenz 8 2e255m765 19.20 18.91 0.28 753512
montgomery 32 feadd 8 2e255m765 43.93 43.43 0.43 970692
montgomery 32 fenz 8 2e256m189 19.35 19.00 0.34 752748
montgomery 32 feadd 8 2e256m189 44.12 43.66 0.45 981964
montgomery 32 fenz 8 2e256m2e224p2e192p2e96m1 18.97 18.63 0.34 753760
montgomery 32 feadd 8 2e256m2e224p2e192p2e96m1 43.58 43.09 0.46 984984
montgomery 32 fenz 8 2e256m2e32m977 19.10 18.78 0.31 753340
montgomery 32 feadd 8 2e256m2e32m977 44.03 43.46 0.54 986048
montgomery 32 fenz 8 2e256m4294968273 19.07 18.77 0.29 753744
montgomery 32 feadd 8 2e256m4294968273 42.94 42.48 0.45 981980
montgomery 32 fenz 8 2e256m88x2e240m1 19.07 18.74 0.33 753484
montgomery 32 feadd 8 2e256m88x2e240m1 44.02 43.54 0.47 980948
montgomery 32 fenz 9 2e266m3 21.56 21.23 0.29 764604
montgomery 32 feadd 9 2e266m3 54.54 54.01 0.52 1094208
montgomery 32 fenz 9 2e285m9 21.46 21.18 0.27 765060
montgomery 32 feadd 9 2e285m9 54.46 53.86 0.60 1087848
montgomery 32 fenz 10 2e291m19 23.98 23.67 0.31 769484
montgomery 32 fenz 11 2e321m9 27.13 26.80 0.32 782940
montgomery 32 fenz 11 2e322m2e161m1 27.26 26.88 0.35 783388
montgomery 32 fenz 11 2e336m17 27.19 26.81 0.36 783140
montgomery 32 fenz 11 2e336m3 27.18 26.83 0.35 783064
montgomery 32 fenz 11 2e338m15 27.06 26.71 0.33 783524
montgomery 32 fenz 12 2e369m25 30.57 30.21 0.35 796052
montgomery 32 fenz 12 2e379m19 30.15 29.85 0.29 795864
montgomery 32 fenz 12 2e382m105 30.38 29.85 0.47 795676
montgomery 32 fenz 12 2e383m187 30.39 30.00 0.39 795540
montgomery 32 fenz 12 2e383m31 30.79 30.42 0.37 796196
montgomery 32 fenz 12 2e383m421 30.48 30.07 0.37 795396
montgomery 32 fenz 12 2e384m2e128m2e96p2e32m1 30.33 29.99 0.33 796224
montgomery 32 fenz 12 2e384m317 30.74 30.36 0.34 795576
montgomery 32 fenz 12 2e384m5x2e368m1 30.21 29.87 0.33 795668
montgomery 32 fenz 12 2e384m79x2e376m1 31.16 30.77 0.38 796464
montgomery 32 fenz 13 2e389m21 34.31 33.99 0.31 823368
montgomery 32 fenz 13 2e401m31 34.14 33.75 0.38 822680
montgomery 32 fenz 13 2e413m21 34.32 33.96 0.34 822968
montgomery 32 fenz 13 2e414m17 34.57 34.24 0.32 823160
montgomery 32 fenz 13 2e416m2e208m1 35.05 34.74 0.31 823412
montgomery 32 fenz 14 2e444m17 38.50 38.13 0.36 841776
montgomery 32 fenz 14 2e448m2e224m1 38.13 37.71 0.40 843648
montgomery 32 fenz 15 2e450m2e225m1 43.49 43.10 0.39 869460
montgomery 32 fenz 15 2e452m3 43.12 42.66 0.41 867900
montgomery 32 fenz 15 2e468m17 43.74 43.36 0.37 868152
montgomery 32 fenz 15 2e480m2e240m1 43.35 42.91 0.43 868644
montgomery 32 fenz 16 2e488m17 48.12 47.72 0.39 880396
montgomery 32 fenz 16 2e489m21 47.54 47.12 0.41 880628
montgomery 32 fenz 16 2e495m31 48.29 47.82 0.39 880888
montgomery 32 fenz 16 2e510m290x2e496m1 48.69 48.24 0.42 881280
montgomery 32 fenz 16 2e511m187 48.19 47.77 0.42 880884
montgomery 32 fenz 16 2e511m481 48.21 47.74 0.40 880992
montgomery 32 fenz 16 2e512m491x2e496m1 48.05 47.65 0.39 881344
montgomery 32 fenz 16 2e512m569 48.12 47.70 0.41 880500
montgomery 32 fenz 17 2e521m1 53.90 53.49 0.41 897992
montgomery 64 feadd 2 2e127m1 13.90 13.55 0.35 742596
montgomery 64 fenz 2 2e127m1 11.49 11.17 0.31 718160
montgomery 64 feopp 2 2e127m1 12.13 11.77 0.36 730336
montgomery 64 femul 2 2e127m1 27.48 27.07 0.41 896816
montgomery 64 fesub 2 2e127m1 13.92 13.55 0.36 741576
montgomery 64 fenz 3 2e129m25 13.17 12.86 0.30 724788
montgomery 64 feadd 3 2e129m25 16.86 16.51 0.35 764084
montgomery 64 feopp 3 2e129m25 13.89 13.58 0.30 740296
montgomery 64 fesub 3 2e129m25 16.93 16.60 0.32 759656
montgomery 64 feadd 3 2e130m5 16.37 16.04 0.32 763908
montgomery 64 fenz 3 2e130m5 12.75 12.48 0.25 724880
montgomery 64 feopp 3 2e130m5 13.34 13.06 0.27 740160
montgomery 64 femul 3 2e129m25 58.07 57.35 0.72 1451024
montgomery 64 fesub 3 2e130m5 16.27 15.89 0.37 760744
montgomery 64 feadd 3 2e137m13 16.43 16.11 0.29 763232
montgomery 64 fenz 3 2e137m13 12.80 12.48 0.30 724812
