kind bitwidth op nlimbs prime real user sys mem
solinas 64 fesquare 6 2e322m2e161m1 47.26 46.73 0.52 1192988
solinas 64 fesquare 6 2e336m17 25.14 24.74 0.38 871296
solinas 64 fesquare 6 2e336m3 24.44 24.07 0.36 869292
solinas 64 fesquare 6 2e338m15 25.40 25.01 0.36 865888
solinas 32 fesquare 7 2e140m27 29.14 28.68 0.41 910936
solinas 32 fesquare 7 2e141m9 29.91 29.53 0.38 928932
solinas 32 fesquare 7 2e150m3 28.98 28.58 0.39 911820
solinas 32 fesquare 7 2e150m5 29.93 29.50 0.42 911140
solinas 32 fesquare 7 2e152m17 30.04 29.62 0.40 923716
solinas 32 fesquare 7 2e158m15 30.02 29.57 0.44 911280
solinas 32 fesquare 7 2e165m25 29.07 28.66 0.40 911420
solinas 32 fesquare 7 2e166m5 30.08 29.73 0.34 911444
solinas 32 fesquare 7 2e171m19 30.26 29.72 0.50 927568
solinas 32 fesquare 7 2e174m17 30.01 29.62 0.39 924344
solinas 32 fesquare 7 2e174m3 29.10 28.68 0.38 912340
solinas 32 fesquare 7 2e189m25 29.10 28.72 0.38 912044
solinas 32 fesquare 7 2e190m11 29.19 28.72 0.43 907220
solinas 64 fesquare 7 2e256m2e32m977 40.01 39.47 0.54 1029816
solinas 64 fesquare 7 2e321m9 30.25 29.88 0.36 925784
solinas 64 fesquare 7 2e336m17 30.31 29.89 0.40 927424
solinas 64 fesquare 7 2e336m3 30.24 29.77 0.45 926012
solinas 64 fesquare 7 2e338m15 30.40 29.89 0.47 933812
solinas 64 fesquare 7 2e369m25 31.62 31.16 0.45 938308
solinas 64 fesquare 7 2e379m19 31.39 30.92 0.45 918744
solinas 64 fesquare 7 2e382m105 30.58 30.17 0.39 935480
solinas 64 fesquare 7 2e383m187 30.89 30.42 0.46 933760
solinas 64 fesquare 7 2e383m31 31.57 31.06 0.43 931444
solinas 64 fesquare 7 2e383m421 31.15 30.71 0.43 932808
solinas 64 fesquare 7 2e384m317 30.59 30.19 0.39 932148
solinas 64 fesquare 7 2e389m21 31.12 30.62 0.48 935716
solinas 64 fesquare 7 2e401m31 30.50 30.12 0.37 932152
