kind bitwidth op nlimbs prime real user sys mem
montgomery 32 fesub 7 2e224m2e96p1 5493.27 5492.45 0.59 955656
montgomery 64 fesub 7 2e389m21 5771.18 5769.82 1.10 966656
montgomery 64 fesub 7 2e401m31 5788.60 5777.04 5.07 970784
montgomery 64 fesub 7 2e413m21 5815.54 5815.01 0.43 988232
montgomery 64 fesub 7 2e414m17 5781.32 5780.09 1.14 988508
montgomery 64 fesub 7 2e416m2e208m1 5796.16 5795.42 0.61 991664
montgomery 64 fesub 7 2e444m17 5813.33 5801.09 5.05 956328
montgomery 64 fesub 7 2e448m2e224m1 5806.30 5805.73 0.52 966500
montgomery 32 fesub 8 2e226m5 78725.19 77582.56 34.78 1013136
montgomery 32 fesub 8 2e230m27 78496.55 77434.39 24.06 1012836
montgomery 32 fesub 8 2e235m15 77246.66 76059.31 32.92 1018228
montgomery 32 fesub 8 2e243m9 77971.75 76903.93 23.20 1005272
montgomery 32 fesub 8 2e251m9 77715.43 77141.99 28.35 1012880
montgomery 32 fesub 8 2e254m127x2e240m1 74410.98 73452.52 23.73 1017984
montgomery 32 fesub 8 2e255m19 74766.85 73939.96 18.44 1012216
montgomery 32 fesub 8 2e255m765 71454.25 70866.74 7.69 1012360
montgomery 32 fesub 8 2e256m189 70056.40 69989.83 25.88 1012448
montgomery 32 fesub 8 2e256m2e224p2e192p2e96m1 70780.51 70746.81 13.97 1013208
montgomery 32 fesub 8 2e256m2e32m977 70123.04 70114.95 3.52 1018736
montgomery 32 fesub 8 2e256m4294968273 70086.97 70062.41 12.09 1025680
montgomery 32 fesub 8 2e256m88x2e240m1 70786.89 70753.97 12.58 1012832
montgomery 64 fesub 8 2e450m2e225m1 70968.59 70939.70 11.64 1014612
montgomery 64 fesub 8 2e452m3 71037.57 71017.24 7.83 1029240
montgomery 64 fesub 8 2e468m17 71413.98 70990.05 9.46 1028160
montgomery 64 fesub 8 2e480m2e240m1 71636.77 71191.89 18.97 1012332
montgomery 64 fesub 8 2e488m17 71362.53 70891.55 20.44 1022064
montgomery 64 fesub 8 2e489m21 71933.13 71657.48 25.22 1019108
montgomery 64 fesub 8 2e495m31 72268.50 71911.92 15.56 1024180
montgomery 64 fesub 8 2e510m290x2e496m1 73158.16 72644.31 21.18 1029304
montgomery 64 fesub 8 2e511m187 73067.45 72612.56 17.33 1023256
montgomery 64 fesub 8 2e511m481 73232.21 72649.74 28.54 1016212
montgomery 64 fesub 8 2e512m491x2e496m1 71597.40 71238.36 18.16 1026844
montgomery 64 fesub 8 2e512m569 68531.18 68327.84 15.72 1026528
montgomery 32 fesub 9 2e266m3 808754.12 807624.01 182.48 1060240
montgomery 32 fesub 9 2e285m9 804728.25 803673.32 160.00 1085024
montgomery 64 fesub 9 2e521m1 763157.42 760168.25 129.43 1137000
