bitwidth nlimbs real user sys mem
32 9 20.31 19.96 0.35 809104
32 9 20.92 20.54 0.35 814600
32 9 20.64 20.33 0.30 812436
32 9 20.90 20.57 0.32 811160
32 9 20.83 20.47 0.36 815976
32 9 20.95 20.63 0.31 811428
32 9 21.07 20.66 0.39 816064
64 9 21.60 21.08 0.48 815776
64 9 22.35 22.04 0.30 821180
64 9 22.35 21.97 0.37 820448
64 9 22.50 22.15 0.34 824076
64 9 22.64 22.20 0.41 825088
64 9 22.71 22.33 0.37 824648
64 9 22.58 22.18 0.39 824236
64 9 22.78 22.44 0.33 824000
64 9 22.91 22.30 0.56 824392
64 9 22.73 22.37 0.35 823672
32 10 22.62 22.27 0.34 826036
32 10 22.61 22.23 0.37 823892
32 10 22.64 22.21 0.41 828604
32 10 23.55 23.20 0.34 821908
32 10 23.28 22.94 0.33 824364
32 10 23.45 23.12 0.32 826468
32 10 22.75 22.38 0.36 825912
32 10 23.47 23.18 0.28 825948
32 10 23.04 22.64 0.36 825236
32 10 23.89 23.51 0.33 825884
64 10 24.06 23.68 0.37 826536
64 10 24.94 24.55 0.38 837864
64 10 25.27 24.90 0.34 834476
64 10 25.40 25.06 0.33 840048
64 10 25.35 24.99 0.35 834436
64 10 25.42 25.08 0.33 833756
64 10 25.57 25.20 0.36 841856
64 10 25.16 24.77 0.38 840880
64 10 25.59 25.20 0.37 840564
64 10 25.70 25.31 0.38 845696
64 10 25.10 24.71 0.37 837248
32 11 26.34 25.96 0.38 847768
32 11 26.39 26.00 0.38 847196
32 11 26.50 26.14 0.34 848060
32 11 26.38 26.01 0.37 854504
32 11 26.71 26.33 0.38 851100
32 11 26.03 25.67 0.32 864152
64 11 28.81 28.36 0.42 875760
64 11 28.85 28.54 0.30 875512
64 11 28.78 28.35 0.38 873800
32 12 29.10 28.69 0.40 879728
32 12 28.83 28.48 0.34 880252
32 12 28.11 27.70 0.39 880836
32 12 29.27 28.88 0.38 873516
32 12 28.48 28.06 0.42 880244
32 12 28.46 28.04 0.41 878420
32 12 28.49 28.07 0.41 880452
32 12 29.69 29.30 0.38 879772
32 13 32.63 32.25 0.38 905328
32 13 32.83 32.41 0.37 896324
32 13 32.13 31.74 0.39 904932
32 13 33.70 33.34 0.35 913032
32 13 33.29 32.90 0.39 910928
32 13 32.19 31.76 0.42 907836
32 14 36.09 35.71 0.37 943892
32 14 37.34 36.95 0.39 945512
32 14 36.40 35.97 0.42 945848
32 15 42.00 41.60 0.40 978408
32 15 43.62 43.18 0.44 978604
32 15 42.79 42.36 0.42 974824
32 15 42.35 41.94 0.41 981188
32 16 48.34 47.90 0.43 1023184
32 16 47.67 47.25 0.41 1014332
32 16 49.05 48.47 0.51 1023504
32 16 49.05 48.55 0.49 1014340
32 16 47.62 47.24 0.37 1015324
32 16 48.76 48.34 0.41 1026676
32 16 49.10 48.71 0.39 1016016
32 16 47.99 47.54 0.44 1024320
32 16 48.24 47.75 0.42 1017060
32 16 49.44 48.99 0.45 1020416
32 16 49.25 48.80 0.45 1028308
32 17 55.34 54.87 0.47 1079068
32 17 54.73 54.29 0.44 1062504
32 17 55.74 55.24 0.43 1062240
32 17 54.24 53.76 0.47 1061432
32 17 55.31 54.85 0.45 1066028
32 17 54.19 53.62 0.49 1063532
32 17 55.83 55.23 0.52 1061904
32 17 54.69 54.21 0.47 1082380
32 17 54.89 54.42 0.46 1066292
32 18 61.52 61.06 0.46 1111848
32 18 62.85 62.31 0.53 1124120
32 18 63.45 63.00 0.44 1123320
32 18 62.17 61.53 0.56 1126692
32 18 62.51 61.99 0.52 1132588
32 18 63.35 62.90 0.44 1116400
32 18 62.39 61.97 0.42 1131808
32 18 62.66 62.15 0.50 1125080
32 18 64.13 63.61 0.50 1117840
32 19 71.85 71.30 0.54 1168044
32 19 72.76 72.23 0.52 1193108
32 19 73.17 72.49 0.59 1138972
32 19 73.38 72.90 0.48 1160968
32 20 84.43 83.97 0.45 1216604
32 20 84.66 84.09 0.57 1240396
32 20 85.53 84.99 0.54 1211960
32 20 84.86 84.33 0.52 1235128
32 20 85.22 84.64 0.56 1236180
32 20 86.00 85.49 0.50 1226148
32 21 103.86 103.36 0.49 1300384
32 22 134.04 133.52 0.52 1358644
32 23 184.76 184.09 0.66 1522680
32 23 182.90 182.26 0.63 1522556
32 24 271.89 271.13 0.75 1513384
32 24 271.10 270.35 0.74 1521052
32 25 429.14 428.49 0.64 1675188
