kind bitwidth op nlimbs prime real user sys mem
montgomery 64 fesub 2 2e127m1 13.41 13.08 0.32 740952
montgomery 64 fesub 3 2e129m25 16.07 15.72 0.34 761472
montgomery 64 fesub 3 2e130m5 16.13 15.81 0.31 760976
montgomery 64 fesub 3 2e137m13 16.42 16.14 0.28 761472
montgomery 64 fesub 3 2e140m27 16.15 15.79 0.36 761768
montgomery 64 fesub 3 2e141m9 16.25 15.97 0.28 762448
montgomery 64 fesub 3 2e150m3 16.17 15.84 0.32 763196
montgomery 64 fesub 3 2e150m5 16.21 15.88 0.32 762828
montgomery 64 fesub 3 2e152m17 16.28 15.93 0.34 763092
montgomery 64 fesub 3 2e158m15 16.02 15.70 0.31 763000
montgomery 64 fesub 3 2e165m25 16.08 15.75 0.32 761460
montgomery 64 fesub 3 2e166m5 16.13 15.80 0.30 762256
montgomery 64 fesub 3 2e171m19 16.04 15.67 0.36 761620
montgomery 64 fesub 3 2e174m17 16.11 15.80 0.31 762952
montgomery 64 fesub 3 2e174m3 16.29 15.96 0.32 762844
montgomery 64 fesub 3 2e189m25 16.12 15.81 0.30 763904
montgomery 64 fesub 3 2e190m11 16.31 16.03 0.27 764524
montgomery 64 fesub 3 2e191m19 16.28 16.02 0.25 763352
montgomery 64 fesub 3 2e192m2e64m1 16.17 15.83 0.33 763892
montgomery 32 fesub 4 2e127m1 17.29 16.89 0.39 768324
montgomery 64 fesub 4 2e194m33 20.15 19.78 0.33 795448
montgomery 64 fesub 4 2e196m15 20.08 19.78 0.29 795164
montgomery 64 fesub 4 2e198m17 20.22 19.87 0.35 794956
montgomery 64 fesub 4 2e205m45x2e198m1 20.24 19.89 0.34 794568
montgomery 64 fesub 4 2e206m5 20.24 19.90 0.33 795100
montgomery 64 fesub 4 2e212m29 20.06 19.75 0.29 795948
montgomery 64 fesub 4 2e213m3 20.13 19.80 0.33 794412
montgomery 64 fesub 4 2e216m2e108m1 20.24 19.87 0.36 794268
montgomery 64 fesub 4 2e221m3 20.21 19.78 0.38 795992
montgomery 64 fesub 4 2e222m117 20.26 19.89 0.35 795172
montgomery 64 fesub 4 2e224m2e96p1 20.15 19.79 0.35 784064
montgomery 64 fesub 4 2e226m5 20.41 20.05 0.35 795644
montgomery 64 fesub 4 2e230m27 20.33 19.97 0.35 795096
montgomery 64 fesub 4 2e235m15 20.28 19.90 0.37 795700
montgomery 64 fesub 4 2e243m9 20.37 19.96 0.38 796112
montgomery 64 fesub 4 2e251m9 20.20 19.86 0.34 795788
montgomery 64 fesub 4 2e254m127x2e240m1 20.12 19.76 0.34 795288
montgomery 64 fesub 4 2e255m19 20.29 19.87 0.40 795216
montgomery 64 fesub 4 2e255m765 20.27 19.88 0.38 795564
montgomery 64 fesub 4 2e256m189 20.09 19.78 0.30 795636
montgomery 64 fesub 4 2e256m2e224p2e192p2e96m1 20.19 19.83 0.33 795584
montgomery 64 fesub 4 2e256m2e32m977 20.24 19.91 0.33 795372
montgomery 64 fesub 4 2e256m4294968273 20.32 19.96 0.35 795736
montgomery 64 fesub 4 2e256m88x2e240m1 20.29 19.94 0.34 795132
montgomery 32 fesub 5 2e129m25 21.11 20.77 0.34 809756
montgomery 32 fesub 5 2e130m5 21.53 21.20 0.32 811108
montgomery 32 fesub 5 2e137m13 21.63 21.27 0.35 811324
montgomery 32 fesub 5 2e140m27 21.12 20.76 0.34 810460
montgomery 32 fesub 5 2e141m9 21.66 21.26 0.40 812460
montgomery 32 fesub 5 2e150m3 21.81 21.50 0.27 813332
montgomery 32 fesub 5 2e150m5 21.57 21.21 0.36 812816
montgomery 32 fesub 5 2e152m17 21.52 21.24 0.28 813008
montgomery 32 fesub 5 2e158m15 21.50 21.19 0.29 812628
montgomery 64 fesub 5 2e266m3 25.08 24.71 0.33 819196
montgomery 64 fesub 5 2e285m9 25.06 24.70 0.35 821392
montgomery 64 fesub 5 2e291m19 25.05 24.68 0.34 820524
montgomery 32 fesub 6 2e165m25 26.50 26.21 0.27 843736
montgomery 32 fesub 6 2e166m5 26.64 26.26 0.35 844796
montgomery 32 fesub 6 2e171m19 26.62 26.26 0.35 846312
montgomery 32 fesub 6 2e174m17 26.55 26.19 0.35 845800
montgomery 32 fesub 6 2e174m3 26.10 25.70 0.39 835856
montgomery 32 fesub 6 2e189m25 26.69 26.37 0.28 835616
montgomery 32 fesub 6 2e190m11 25.95 25.62 0.32 833936
montgomery 32 fesub 6 2e191m19 26.03 25.73 0.29 833992
montgomery 32 fesub 6 2e192m2e64m1 26.63 26.27 0.35 836128
montgomery 64 fesub 6 2e321m9 30.48 30.19 0.28 866448
montgomery 64 fesub 6 2e322m2e161m1 30.35 29.93 0.41 868292
montgomery 64 fesub 6 2e336m17 30.37 29.97 0.39 866376
montgomery 64 fesub 6 2e336m3 30.51 30.15 0.35 877380
montgomery 64 fesub 6 2e338m15 30.44 30.02 0.39 876704
montgomery 64 fesub 6 2e369m25 30.51 30.17 0.33 863520
montgomery 64 fesub 6 2e379m19 30.40 30.08 0.31 862676
montgomery 64 fesub 6 2e382m105 30.38 30.00 0.37 862892
montgomery 64 fesub 6 2e383m187 30.45 30.08 0.37 863564
montgomery 64 fesub 6 2e383m31 30.40 29.98 0.41 863052
montgomery 64 fesub 6 2e383m421 30.52 30.23 0.28 863892
montgomery 64 fesub 6 2e384m2e128m2e96p2e32m1 30.35 29.96 0.38 868352
montgomery 64 fesub 6 2e384m317 30.28 29.93 0.34 863524
montgomery 64 fesub 6 2e384m5x2e368m1 30.33 30.02 0.30 863880
