kind bitwidth op nlimbs prime real user sys mem
montgomery 32 fenz 7 2e194m33 16.47 16.15 0.31 743680
montgomery 32 feopp 6 2e192m2e64m1 18.35 18.02 0.32 775468
montgomery 32 fesub 6 2e192m2e64m1 26.63 26.27 0.35 836128
montgomery 32 feadd 7 2e196m15 33.33 32.50 0.41 899644
montgomery 32 femul 6 2e192m2e64m1 477.18 472.97 3.86 10160664
montgomery 32 fenz 7 2e196m15 16.56 16.09 0.32 743380
montgomery 32 femul 7 2e194m33 981.29 974.88 6.23 19324140
montgomery 32 femul 7 2e196m15 981.56 975.23 6.22 19326260
montgomery 32 feadd 7 2e198m17 32.40 32.05 0.34 899584
montgomery 32 femul 7 2e198m17 980.24 974.25 5.98 18904348
montgomery 32 fenz 7 2e198m17 16.40 16.11 0.28 743100
montgomery 32 feopp 7 2e194m33 21.51 21.18 0.32 808436
montgomery 32 feopp 7 2e196m15 22.36 21.16 0.36 807128
montgomery 32 feadd 7 2e205m45x2e198m1 33.26 32.88 0.37 899864
montgomery 32 femul 7 2e205m45x2e198m1 980.30 974.31 5.98 19247880
montgomery 32 fenz 7 2e205m45x2e198m1 16.50 16.24 0.24 743688
montgomery 32 fesub 7 2e194m33 32.82 32.05 0.40 899204
montgomery 32 feopp 7 2e198m17 21.27 20.90 0.33 806412
montgomery 32 feadd 7 2e206m5 33.17 32.80 0.36 895348
montgomery 32 fesub 7 2e196m15 31.65 31.23 0.41 895988
montgomery 32 fenz 7 2e206m5 16.50 16.22 0.27 743384
montgomery 32 femul 7 2e206m5 982.29 976.10 6.17 19299828
montgomery 32 feopp 7 2e205m45x2e198m1 21.58 21.24 0.34 806268
montgomery 32 feadd 7 2e212m29 33.24 32.84 0.35 905712
montgomery 32 fesub 7 2e198m17 32.43 32.06 0.36 899132
montgomery 32 fenz 7 2e212m29 16.54 16.24 0.29 743628
montgomery 32 femul 7 2e212m29 979.00 973.11 5.88 18863332
montgomery 32 feopp 7 2e206m5 21.51 21.12 0.38 806160
montgomery 32 feadd 7 2e213m3 33.21 32.78 0.41 899396
montgomery 32 fesub 7 2e205m45x2e198m1 32.40 32.02 0.37 892364
montgomery 32 fenz 7 2e213m3 16.46 16.20 0.25 743216
montgomery 32 femul 7 2e213m3 979.74 973.24 6.45 19273436
montgomery 32 feopp 7 2e212m29 21.32 20.99 0.32 805536
montgomery 32 feadd 7 2e216m2e108m1 33.13 32.71 0.42 906840
montgomery 32 fesub 7 2e206m5 32.64 32.09 0.49 895144
montgomery 32 fenz 7 2e216m2e108m1 16.43 16.14 0.28 743468
montgomery 32 femul 7 2e216m2e108m1 977.34 971.31 5.98 19258256
montgomery 32 feopp 7 2e213m3 21.73 21.36 0.37 806904
montgomery 32 feadd 7 2e221m3 33.27 32.93 0.33 909804
montgomery 32 fesub 7 2e212m29 32.45 32.04 0.40 895864
montgomery 32 fenz 7 2e221m3 16.41 16.10 0.30 743212
montgomery 32 femul 7 2e221m3 980.22 973.72 6.23 19198700
montgomery 32 feopp 7 2e216m2e108m1 21.78 21.45 0.32 805536
montgomery 32 feadd 7 2e222m117 32.94 32.55 0.38 905936
montgomery 32 fesub 7 2e213m3 31.77 31.38 0.37 895120
montgomery 32 fenz 7 2e222m117 16.46 16.16 0.27 743572
montgomery 32 femul 7 2e222m117 983.52 977.05 6.39 19227940
montgomery 32 feopp 7 2e221m3 21.24 20.97 0.27 806900
montgomery 32 feadd 7 2e224m2e96p1 33.10 32.67 0.34 909984
montgomery 32 fesub 7 2e216m2e108m1 31.68 31.27 0.40 907012
montgomery 32 fenz 7 2e224m2e96p1 16.39 16.08 0.31 743284
montgomery 32 femul 7 2e224m2e96p1 975.77 969.11 6.33 19190524
montgomery 32 feopp 7 2e222m117 21.22 20.92 0.27 807672
montgomery 32 feadd 8 2e226m5 41.39 40.98 0.40 981988
montgomery 32 fesub 7 2e221m3 32.37 31.89 0.47 895660
montgomery 32 fenz 8 2e226m5 18.41 18.09 0.31 752720
montgomery 32 feopp 7 2e224m2e96p1 21.01 20.72 0.29 804208
montgomery 32 femul 8 2e226m5 1921.18 1911.02 10.10 33857312
montgomery 32 feadd 8 2e230m27 40.70 40.23 0.46 984956
montgomery 32 fesub 7 2e222m117 31.59 31.09 0.45 890056
montgomery 32 fenz 8 2e230m27 18.43 18.10 0.33 752788
montgomery 32 femul 8 2e230m27 1919.54 1908.97 10.32 33738160
montgomery 32 fesub 7 2e224m2e96p1 31.46 31.07 0.39 906696
montgomery 32 feadd 8 2e235m15 40.69 40.27 0.41 986536
montgomery 32 femul 8 2e235m15 1927.39 1917.03 10.35 34228764
montgomery 32 fenz 8 2e235m15 18.42 18.11 0.31 752948
montgomery 32 fenz 8 2e243m9 18.52 18.17 0.33 752968
montgomery 32 feadd 8 2e243m9 41.85 41.23 0.56 965588
montgomery 32 fenz 8 2e251m9 18.42 18.09 0.33 752436
montgomery 32 feadd 8 2e251m9 41.57 41.14 0.42 963264
montgomery 32 feadd 8 2e254m127x2e240m1 40.89 40.48 0.40 984516
montgomery 32 fenz 8 2e254m127x2e240m1 18.42 18.09 0.32 753112
montgomery 32 fenz 8 2e255m19 18.45 18.15 0.30 752652
montgomery 32 feadd 8 2e255m19 41.81 41.37 0.43 964316
montgomery 32 fenz 8 2e255m765 18.54 18.18 0.34 752768
montgomery 32 feadd 8 2e255m765 41.72 41.28 0.43 965256
montgomery 32 fenz 8 2e256m189 18.59 18.26 0.30 752720
montgomery 32 feadd 8 2e256m189 41.04 40.51 0.46 982220
montgomery 32 fenz 8 2e256m2e224p2e192p2e96m1 18.57 18.22 0.34 752988
montgomery 32 feadd 8 2e256m2e224p2e192p2e96m1 41.48 40.99 0.48 982104
montgomery 32 fenz 8 2e256m2e32m977 18.51 18.19 0.31 753220
montgomery 32 feadd 8 2e256m2e32m977 41.88 41.46 0.42 984824
montgomery 32 fenz 8 2e256m4294968273 18.44 18.12 0.31 752548
montgomery 32 feadd 8 2e256m4294968273 40.91 40.50 0.41 963908
montgomery 32 fenz 8 2e256m88x2e240m1 18.45 18.13 0.31 752640
montgomery 32 feadd 8 2e256m88x2e240m1 41.83 41.39 0.43 965108
montgomery 32 fenz 9 2e266m3 20.68 20.38 0.29 762776
montgomery 32 feadd 9 2e266m3 50.12 49.63 0.48 1087376
montgomery 32 fenz 9 2e285m9 20.59 20.24 0.34 763024
montgomery 32 feadd 9 2e285m9 51.24 50.74 0.50 1093280
montgomery 32 fenz 10 2e291m19 23.29 22.98 0.31 778036
montgomery 32 fenz 11 2e321m9 26.31 25.95 0.35 782576
montgomery 32 fenz 11 2e322m2e161m1 25.90 25.62 0.27 782704
montgomery 32 fenz 11 2e336m17 25.98 25.66 0.31 782732
montgomery 32 fenz 11 2e336m3 26.28 25.95 0.32 782776
montgomery 32 fenz 11 2e338m15 26.40 26.10 0.29 782788
montgomery 32 fenz 12 2e369m25 29.61 29.31 0.30 798668
montgomery 32 fenz 12 2e379m19 29.46 29.15 0.30 798632
montgomery 32 fenz 12 2e382m105 28.97 28.59 0.37 798680
montgomery 32 fenz 12 2e383m187 29.00 28.73 0.26 798848
montgomery 32 fenz 12 2e383m31 28.98 28.64 0.34 798564
montgomery 32 fenz 12 2e383m421 28.97 28.66 0.30 798936
montgomery 32 fenz 12 2e384m2e128m2e96p2e32m1 28.99 28.65 0.33 799104
montgomery 32 fenz 12 2e384m317 28.95 28.61 0.33 798952
montgomery 32 fenz 12 2e384m5x2e368m1 29.03 28.73 0.29 798608
montgomery 32 fenz 12 2e384m79x2e376m1 29.23 28.92 0.30 798840
montgomery 32 fenz 13 2e389m21 32.78 32.40 0.37 823240
montgomery 32 fenz 13 2e401m31 32.67 32.36 0.30 823348
montgomery 32 fenz 13 2e413m21 33.06 32.71 0.33 823144
montgomery 32 fenz 13 2e414m17 32.50 32.14 0.34 823028
montgomery 32 fenz 13 2e416m2e208m1 32.82 32.48 0.33 823488
montgomery 32 fenz 14 2e444m17 36.15 35.76 0.38 841760
montgomery 32 fenz 14 2e448m2e224m1 36.32 35.94 0.37 845040
montgomery 32 fenz 15 2e450m2e225m1 40.90 40.54 0.35 869048
montgomery 32 fenz 15 2e452m3 41.08 40.56 0.45 865184
montgomery 32 fenz 15 2e468m17 40.75 40.35 0.39 865488
montgomery 32 fenz 15 2e480m2e240m1 41.27 40.84 0.43 868364
montgomery 32 fenz 16 2e488m17 44.53 44.17 0.35 880808
montgomery 32 fenz 16 2e489m21 45.63 45.25 0.37 881132
montgomery 32 fenz 16 2e495m31 45.16 44.80 0.36 881116
montgomery 32 fenz 16 2e510m290x2e496m1 45.17 44.79 0.37 881340
montgomery 32 fenz 16 2e511m187 44.71 44.30 0.40 880524
montgomery 32 fenz 16 2e511m481 45.36 44.93 0.36 880256
montgomery 32 fenz 16 2e512m491x2e496m1 45.71 45.36 0.34 880800
montgomery 32 fenz 16 2e512m569 44.80 44.43 0.36 880792
montgomery 32 fenz 17 2e521m1 51.10 50.70 0.39 898176
montgomery 64 feadd 2 2e127m1 13.85 13.38 0.43 738880
montgomery 64 fenz 2 2e127m1 10.99 10.69 0.29 718280
montgomery 64 feopp 2 2e127m1 11.35 11.00 0.34 729116
montgomery 64 femul 2 2e127m1 26.37 25.94 0.40 901956
montgomery 64 fesub 2 2e127m1 13.41 13.08 0.32 740952
montgomery 64 fenz 3 2e129m25 12.71 12.41 0.28 725964
montgomery 64 feadd 3 2e129m25 16.36 16.03 0.32 761776
