bitwidth nlimbs real user sys mem
64 3 14.82 14.48 0.33 760832
64 3 14.70 14.41 0.29 761148
64 3 14.85 14.54 0.31 764080
64 3 14.84 14.52 0.31 760340
64 3 14.87 14.56 0.31 763712
64 3 14.76 14.42 0.34 761608
64 3 14.80 14.48 0.31 759116
64 3 14.85 14.53 0.31 760740
64 3 14.95 14.66 0.28 763948
64 3 14.99 14.61 0.35 758700
64 3 14.91 14.59 0.31 763272
64 3 14.98 14.65 0.33 763288
64 3 14.93 14.62 0.30 765100
64 3 14.88 14.59 0.28 761848
64 3 14.97 14.48 0.46 762796
64 4 18.46 18.10 0.35 786140
64 4 18.29 17.97 0.30 788736
64 4 18.47 18.08 0.35 790880
64 4 18.14 17.79 0.34 789172
64 4 18.49 18.19 0.30 792120
64 4 18.49 18.10 0.38 791552
64 4 18.39 18.05 0.33 791628
64 4 18.33 18.02 0.30 791644
64 4 18.50 18.18 0.31 792208
64 4 18.65 18.34 0.27 792060
64 4 18.54 18.14 0.38 788400
64 4 18.60 18.30 0.29 799288
64 4 18.53 18.20 0.33 797040
64 4 18.54 18.28 0.25 797736
64 4 18.83 18.47 0.35 791272
64 4 18.66 18.32 0.33 791552
64 4 18.78 18.39 0.36 791840
64 4 23.59 23.22 0.37 840684
64 4 18.58 18.21 0.36 791192
64 4 17.93 17.60 0.32 791544
64 4 18.73 18.44 0.29 791580
64 4 18.57 18.23 0.33 791788
64 4 18.53 18.18 0.35 791640
64 4 18.76 18.38 0.37 791536
64 4 30.15 29.73 0.41 939268
64 4 18.92 18.63 0.27 792188
64 4 18.74 18.41 0.32 791496
64 4 18.89 18.52 0.33 791640
64 4 18.81 18.47 0.32 792100
64 4 18.89 18.56 0.33 799400
32 5 22.99 22.57 0.42 824876
32 5 22.32 21.92 0.38 823672
32 5 21.93 21.56 0.37 825356
32 5 22.34 21.98 0.34 824276
64 5 23.04 22.73 0.30 826372
64 5 22.60 22.24 0.34 825964
64 5 23.09 22.73 0.35 826464
64 5 29.44 29.06 0.38 903296
64 5 23.28 22.92 0.35 830204
64 5 23.21 22.84 0.36 829112
64 5 23.09 22.78 0.31 826936
64 5 22.72 22.36 0.35 826604
64 5 23.22 22.87 0.34 826048
64 5 23.27 22.85 0.38 829820
64 5 23.26 22.68 0.54 831184
64 5 23.33 23.00 0.32 830680
64 5 23.35 22.98 0.34 826376
64 5 22.78 22.40 0.37 829016
64 5 22.79 22.43 0.36 826400
64 5 23.32 22.97 0.34 829892
64 5 23.49 23.11 0.36 833980
64 5 22.86 22.50 0.36 826556
64 5 23.00 22.66 0.34 830792
64 5 23.42 23.06 0.35 830924
64 5 23.69 23.29 0.38 830992
64 5 23.14 22.79 0.34 831044
64 5 23.73 23.36 0.35 835812
32 6 26.30 25.84 0.45 874948
32 6 25.84 25.51 0.32 872904
32 6 26.78 26.41 0.35 871528
32 6 26.89 26.51 0.37 879072
32 6 26.97 26.59 0.37 880424
32 6 26.72 26.35 0.36 877276
32 6 26.40 26.01 0.39 879136
32 6 26.46 26.14 0.31 881060
32 6 26.95 26.52 0.42 878908
32 6 26.93 26.53 0.39 878032
32 6 26.96 26.55 0.40 876700
64 6 27.07 26.61 0.45 882940
64 6 28.10 27.69 0.40 879044
64 6 27.95 27.62 0.33 882076
64 6 27.13 26.80 0.32 882492
64 6 28.34 27.89 0.44 879880
64 6 36.76 36.36 0.39 953156
64 6 28.06 27.68 0.37 886384
64 6 28.07 27.63 0.43 890044
64 6 28.20 27.74 0.46 880580
64 6 27.49 27.10 0.38 886744
64 6 52.83 51.84 0.65 1216916
64 6 28.22 27.75 0.42 884580
64 6 27.97 27.59 0.38 881776
64 6 27.82 27.48 0.34 883512
32 7 32.35 31.89 0.42 940200
32 7 32.31 31.87 0.38 936140
32 7 33.16 32.74 0.42 942748
32 7 33.28 32.86 0.41 938452
32 7 33.42 32.99 0.42 944876
32 7 33.33 32.90 0.42 940452
32 7 33.36 32.98 0.37 935980
32 7 33.51 33.02 0.49 945808
32 7 33.62 33.08 0.49 942568
32 7 33.51 33.08 0.42 945676
32 7 33.43 33.01 0.41 944012
32 7 31.47 31.06 0.41 935692
32 7 33.53 33.13 0.39 936420
64 7 47.49 46.89 0.54 1078552
64 7 34.21 33.74 0.43 951024
64 7 34.25 33.79 0.43 943236
64 7 34.38 33.95 0.42 942968
64 7 35.25 34.81 0.44 950960
64 7 35.44 34.96 0.47 951092
64 7 35.39 34.92 0.45 945304
64 7 35.67 35.29 0.37 950848
64 7 35.73 35.27 0.40 950836
64 7 35.43 34.91 0.51 964380
64 7 34.60 34.21 0.39 951008
64 7 34.61 34.21 0.39 951416
64 7 35.25 34.86 0.38 951112
64 7 34.56 34.16 0.39 951796
64 7 34.59 34.07 0.47 944232
32 8 42.27 41.78 0.48 1033544
32 8 42.18 41.76 0.41 1022108
32 8 42.25 41.81 0.43 1027764
32 8 42.22 41.68 0.53 1023480
32 8 42.63 41.91 0.66 1020544
32 8 42.32 41.87 0.44 1021200
