kind bitwidth op nlimbs prime real user sys mem
montgomery 32 fenz 7 2e224m2e96p1 16.39 16.08 0.31 743284
montgomery 64 fenz 7 2e389m21 23.70 23.40 0.29 769328
montgomery 64 fenz 7 2e401m31 23.43 23.15 0.27 769188
montgomery 64 fenz 7 2e413m21 23.48 23.18 0.30 769320
montgomery 64 fenz 7 2e414m17 23.97 23.65 0.32 769324
montgomery 64 fenz 7 2e416m2e208m1 23.72 23.37 0.32 769384
montgomery 64 fenz 7 2e444m17 23.37 23.02 0.34 769108
montgomery 64 fenz 7 2e448m2e224m1 23.28 22.95 0.32 769400
montgomery 32 fenz 8 2e226m5 18.41 18.09 0.31 752720
montgomery 32 fenz 8 2e230m27 18.43 18.10 0.33 752788
montgomery 32 fenz 8 2e235m15 18.42 18.11 0.31 752948
montgomery 32 fenz 8 2e243m9 18.52 18.17 0.33 752968
montgomery 32 fenz 8 2e251m9 18.42 18.09 0.33 752436
montgomery 32 fenz 8 2e254m127x2e240m1 18.42 18.09 0.32 753112
montgomery 32 fenz 8 2e255m19 18.45 18.15 0.30 752652
montgomery 32 fenz 8 2e255m765 18.54 18.18 0.34 752768
montgomery 32 fenz 8 2e256m189 18.59 18.26 0.30 752720
montgomery 32 fenz 8 2e256m2e224p2e192p2e96m1 18.57 18.22 0.34 752988
montgomery 32 fenz 8 2e256m2e32m977 18.51 18.19 0.31 753220
montgomery 32 fenz 8 2e256m4294968273 18.44 18.12 0.31 752548
montgomery 32 fenz 8 2e256m88x2e240m1 18.45 18.13 0.31 752640
montgomery 64 fenz 8 2e450m2e225m1 27.73 27.38 0.34 780264
montgomery 64 fenz 8 2e452m3 27.31 26.99 0.31 780272
montgomery 64 fenz 8 2e468m17 27.08 26.78 0.29 780560
montgomery 64 fenz 8 2e480m2e240m1 27.12 26.82 0.29 780224
montgomery 64 fenz 8 2e488m17 27.15 26.83 0.32 780700
montgomery 64 fenz 8 2e489m21 27.45 26.94 0.37 780096
montgomery 64 fenz 8 2e495m31 27.27 26.98 0.28 780268
montgomery 64 fenz 8 2e510m290x2e496m1 27.09 26.72 0.36 780888
montgomery 64 fenz 8 2e511m187 27.22 26.87 0.35 780456
montgomery 64 fenz 8 2e511m481 27.13 26.79 0.33 780344
montgomery 64 fenz 8 2e512m491x2e496m1 27.73 27.40 0.28 780588
montgomery 64 fenz 8 2e512m569 27.15 26.76 0.36 780412
montgomery 32 fenz 9 2e266m3 20.68 20.38 0.29 762776
montgomery 32 fenz 9 2e285m9 20.59 20.24 0.34 763024
montgomery 64 fenz 9 2e521m1 32.43 32.05 0.37 789612
