nlimbs bitwidth real user sys mem
9 32 18.59 18.24 0.34 788048
9 32 18.65 18.32 0.32 785784
9 32 18.60 18.33 0.27 786404
9 32 18.08 17.78 0.30 787804
9 32 18.62 18.32 0.29 786528
9 32 18.25 17.78 0.45 787296
9 32 18.55 18.22 0.33 784436
9 32 18.90 18.57 0.32 786472
9 32 18.81 18.47 0.31 786332
9 32 18.27 17.98 0.28 787996
9 32 19.05 18.53 0.48 787704
9 64 19.21 18.87 0.33 787396
9 64 19.41 19.10 0.30 787684
9 64 19.91 19.64 0.27 787928
9 64 19.97 19.62 0.34 800076
9 64 19.81 19.50 0.30 795672
9 64 20.10 19.78 0.31 788152
9 64 19.67 19.34 0.32 788500
9 64 20.32 20.00 0.31 798264
9 64 20.23 19.90 0.32 796932
9 64 20.29 19.98 0.31 797588
9 64 20.38 20.05 0.32 797320
10 32 20.36 20.07 0.28 804848
10 32 20.87 20.55 0.30 805480
10 32 21.04 20.70 0.34 803272
10 32 21.05 20.66 0.35 803484
10 32 20.39 20.05 0.33 805416
10 32 20.56 20.23 0.32 802348
10 32 21.05 20.75 0.29 804636
10 32 21.11 20.82 0.28 807928
10 32 21.07 20.69 0.37 802336
10 32 20.51 20.19 0.31 804564
10 32 21.17 20.83 0.34 807532
10 64 21.70 21.38 0.30 806064
10 64 22.16 21.81 0.35 805628
10 64 22.53 22.22 0.30 810960
10 64 21.92 21.57 0.34 806476
10 64 22.58 22.22 0.35 818880
10 64 22.60 22.26 0.29 816052
10 64 22.71 22.33 0.37 809232
10 64 22.71 22.30 0.40 805016
10 64 22.36 22.04 0.31 813540
10 64 22.62 22.21 0.41 813468
10 64 22.73 22.37 0.35 813100
10 64 22.86 22.51 0.34 811020
11 32 23.61 23.29 0.31 824188
11 32 23.63 23.24 0.38 824688
11 32 23.58 23.21 0.36 825504
11 32 23.12 22.69 0.40 819004
11 32 23.20 22.89 0.30 823444
11 32 24.00 23.63 0.36 821284
11 32 23.15 22.83 0.32 824036
11 32 23.30 22.93 0.35 819732
11 64 25.55 25.22 0.32 825176
11 64 25.10 24.79 0.30 823464
11 64 25.68 25.20 0.45 824000
12 32 26.48 26.06 0.41 833768
12 32 25.97 25.70 0.27 838828
12 32 26.80 26.29 0.48 838356
12 32 26.60 26.27 0.33 838860
12 32 26.73 26.27 0.45 833052
12 32 26.76 26.36 0.39 836808
12 32 27.16 26.78 0.38 833712
12 32 27.12 26.74 0.37 840996
12 32 26.19 25.78 0.41 830624
13 32 30.50 30.13 0.33 862888
13 32 30.14 29.76 0.37 860768
13 32 29.85 29.19 0.62 863684
13 32 29.84 29.38 0.41 862436
13 32 30.76 30.38 0.37 865676
13 32 29.71 29.31 0.39 858824
14 32 32.39 32.04 0.34 897624
14 32 33.82 33.44 0.37 897908
14 32 32.94 32.56 0.38 898208
15 32 37.17 36.81 0.35 909260
15 32 37.31 36.86 0.40 924396
15 32 38.43 38.01 0.41 906136
15 32 38.49 38.07 0.41 917992
16 32 43.27 42.92 0.34 947792
16 32 43.36 42.92 0.44 956684
16 32 43.48 43.04 0.37 954076
16 32 43.27 42.86 0.40 957688
16 32 43.10 42.62 0.47 957072
16 32 43.47 42.81 0.60 947600
16 32 42.32 41.86 0.44 965272
16 32 43.63 43.12 0.45 947212
16 32 43.68 43.30 0.37 954332
16 32 43.52 43.13 0.38 968936
16 32 44.42 43.96 0.45 948440
17 32 49.85 49.47 0.35 989304
17 32 49.29 48.85 0.43 989000
17 32 49.23 48.87 0.35 987924
17 32 50.29 49.82 0.45 988788
17 32 49.57 49.18 0.38 985076
