bitwidth nlimbs real user sys mem
32 9 51.44 50.80 0.60 1126160
32 9 51.67 51.11 0.55 1132808
32 9 50.17 49.64 0.50 1134776
32 9 51.69 51.18 0.50 1139400
32 9 52.34 51.75 0.58 1133424
32 9 51.27 50.70 0.55 1126220
32 9 50.25 49.70 0.54 1121624
64 9 52.00 51.45 0.54 1145232
64 9 52.52 51.94 0.57 1126016
64 9 53.86 53.41 0.44 1137868
64 9 54.18 53.66 0.50 1133364
64 9 52.82 52.18 0.63 1128396
64 9 54.58 54.01 0.56 1135400
64 9 51.53 50.98 0.48 1144984
64 9 51.65 51.15 0.49 1146756
64 9 54.09 53.60 0.48 1139236
32 10 80.44 79.74 0.68 1443404
32 10 124.76 123.47 1.13 2106272
32 10 61.06 60.43 0.62 1213260
32 10 60.59 59.97 0.61 1213484
32 10 59.11 58.54 0.56 1213720
32 10 60.56 59.99 0.56 1212628
32 10 59.16 58.56 0.59 1212984
32 10 61.70 60.83 0.78 1238820
32 10 58.87 58.28 0.57 1213476
32 10 61.46 60.90 0.55 1239700
64 10 61.60 60.96 0.62 1213336
64 10 127.99 126.93 1.05 2155316
64 10 125.66 124.56 1.08 2109728
64 10 125.17 123.90 1.26 2125732
64 10 63.99 63.35 0.62 1231168
64 10 64.07 63.34 0.72 1215060
64 10 61.32 60.79 0.52 1218868
64 10 63.14 62.43 0.63 1271996
64 10 64.00 63.35 0.61 1283692
64 10 64.80 64.20 0.58 1253136
64 10 62.27 61.69 0.57 1221004
32 11 76.11 75.44 0.66 1336416
32 11 76.00 75.36 0.63 1341932
32 11 76.71 76.03 0.68 1376868
32 11 76.17 75.47 0.60 1352940
32 11 76.56 75.83 0.71 1358916
32 11 76.27 75.58 0.69 1348060
64 11 79.64 78.99 0.64 1374364
64 11 79.99 79.32 0.56 1375472
64 11 79.78 79.11 0.67 1388472
32 12 85.05 84.35 0.69 1531220
32 12 88.16 87.44 0.72 1470124
32 12 120.42 119.60 0.81 1839944
32 12 88.26 87.50 0.74 1519472
32 12 88.67 87.73 0.83 1523800
32 12 87.44 86.79 0.63 1543412
32 12 179.01 177.42 1.58 2964404
32 12 86.84 86.01 0.77 1517680
32 13 101.73 100.88 0.84 1684104
32 13 141.46 140.48 0.97 1988160
32 13 106.49 105.51 0.86 1660704
32 13 102.90 102.14 0.75 1651296
32 13 106.09 105.32 0.76 1657412
32 13 100.10 99.12 0.85 1585272
32 14 261.92 259.73 2.17 4266612
32 14 125.12 124.23 0.88 1870900
32 14 128.68 127.67 1.00 1891244
32 15 147.95 146.88 1.06 2047652
32 15 143.14 142.07 1.06 1988192
32 15 148.09 146.97 1.10 2045856
32 15 143.09 142.16 0.92 2046252
32 16 181.30 180.14 1.15 2361400
32 16 181.75 180.68 1.06 2367864
32 16 175.41 174.34 1.06 2367484
32 16 181.52 180.37 1.14 2352080
32 16 175.60 174.54 1.05 2363784
32 16 181.42 180.38 1.02 2360884
32 16 176.17 174.79 1.15 2338716
32 16 175.73 174.59 1.12 2361304
32 16 175.21 174.05 1.15 2367624
32 16 375.83 372.30 3.07 5782540
32 16 371.23 367.64 3.15 5826768
32 17 199.34 198.05 1.28 2657780
32 17 202.50 201.14 1.34 2593904
32 17 207.26 205.90 1.36 2613120
32 17 199.24 198.02 1.21 2624324
32 17 206.90 205.64 1.25 2645444
32 17 206.62 205.24 1.36 2593308
32 17 206.92 205.63 1.27 2606552
32 17 207.57 206.05 1.28 2648376
32 17 207.27 206.07 1.20 2655072
32 18 239.88 238.40 1.47 2967700
32 18 245.53 244.24 1.28 2909056
32 18 544.51 540.86 3.63 7746116
32 18 246.61 245.25 1.34 2975840
32 18 534.24 530.29 3.92 7772796
32 18 540.60 535.82 4.14 8044824
32 18 241.17 239.82 1.34 2919268
32 18 235.11 233.61 1.49 2967068
32 18 546.90 542.83 4.03 8079584
32 19 283.27 281.71 1.54 3270472
32 19 282.26 280.71 1.53 3146780
32 19 272.07 270.46 1.60 3149828
32 19 270.82 269.29 1.51 3148664
32 20 674.02 669.53 4.44 10285048
32 20 661.27 656.45 4.77 10428440
32 20 317.68 316.04 1.64 3802136
32 20 318.54 316.88 1.65 3722820
32 20 327.51 325.74 1.75 3791396
32 20 327.34 325.53 1.80 3728832
32 21 394.99 393.04 1.94 4228512
32 22 466.70 464.60 2.08 4609500
32 23 566.63 564.09 2.52 5372952
32 23 567.12 563.67 2.79 5432160
32 24 716.66 713.64 3.00 5778384
32 24 715.80 713.14 2.65 5577208
32 25 927.85 924.75 3.07 6834904
