nlimbs bitwidth real user sys mem
9 32 23.77 23.38 0.36 873508
9 32 23.82 23.41 0.40 879840
9 32 23.93 23.50 0.39 875996
9 32 23.19 22.73 0.41 880432
9 32 23.78 23.41 0.36 880600
9 32 23.99 23.55 0.42 881548
9 32 24.01 23.64 0.36 882496
9 64 24.36 23.96 0.39 880544
9 64 24.08 23.71 0.36 885768
9 64 30.77 30.32 0.44 968532
9 64 24.93 24.53 0.39 886928
9 64 24.98 24.58 0.39 886624
9 64 24.94 24.52 0.41 893884
9 64 25.35 24.88 0.46 893656
9 64 25.29 24.82 0.45 888976
9 64 24.50 24.15 0.35 892236
9 64 24.52 24.16 0.36 890276
10 32 32.76 32.33 0.43 1018676
10 32 33.90 33.33 0.54 1032216
10 32 26.70 26.25 0.44 923740
10 32 26.84 26.40 0.43 919240
10 32 25.87 25.44 0.42 920704
10 32 26.77 26.31 0.45 916264
10 32 26.80 26.40 0.38 922204
10 32 26.87 26.38 0.49 927768
10 32 26.11 25.66 0.44 922304
10 32 27.19 26.80 0.35 931828
10 64 26.54 26.16 0.37 925800
10 64 35.52 35.07 0.45 1036480
10 64 35.44 34.94 0.45 1036764
10 64 35.51 35.01 0.48 1036280
10 64 28.05 27.67 0.37 932476
10 64 27.20 26.73 0.46 932616
10 64 27.98 27.54 0.43 924780
10 64 28.22 27.83 0.38 928740
10 64 28.15 27.69 0.45 929100
10 64 28.53 28.10 0.43 928756
10 64 28.45 27.96 0.45 931496
11 32 30.00 29.57 0.42 979728
11 32 31.06 30.57 0.48 967980
11 32 30.64 30.13 0.45 967212
11 32 30.38 29.90 0.47 976056
11 32 30.71 30.24 0.46 977488
11 32 30.40 29.99 0.36 976904
11 64 32.62 32.13 0.48 982312
11 64 32.62 32.17 0.43 980760
11 64 32.90 32.40 0.49 982176
12 32 35.10 34.56 0.53 1031876
12 32 35.01 34.47 0.53 1033888
12 32 42.03 41.50 0.52 1171892
12 32 35.27 34.63 0.59 1033676
12 32 35.25 34.73 0.51 1036760
12 32 35.53 35.05 0.47 1032348
12 32 42.32 41.73 0.58 1184112
12 32 35.50 34.97 0.52 1030900
13 32 39.64 39.11 0.52 1089520
13 32 46.49 45.87 0.60 1220272
13 32 39.51 38.96 0.54 1113476
13 32 38.56 37.94 0.61 1115216
13 32 38.28 37.77 0.50 1120572
13 32 39.99 39.48 0.50 1108708
14 32 52.59 51.91 0.61 1435840
14 32 42.04 41.41 0.62 1172104
14 32 43.88 43.28 0.59 1172180
15 32 49.05 48.37 0.67 1226188
15 32 49.52 48.89 0.56 1264224
15 32 49.15 48.52 0.62 1226472
15 32 49.16 48.54 0.61 1226668
16 32 56.20 55.38 0.77 1445800
16 32 57.82 57.14 0.67 1442808
16 32 55.90 55.11 0.77 1440792
16 32 57.57 56.90 0.65 1441800
16 32 55.19 54.50 0.68 1439320
16 32 57.13 56.35 0.76 1429980
16 32 57.61 56.87 0.73 1454664
16 32 57.25 56.64 0.60 1440940
16 32 57.51 56.81 0.68 1444752
16 32 67.69 66.96 0.72 1674076
16 32 69.02 68.29 0.73 1662784
17 32 61.65 60.89 0.74 1529980
17 32 61.96 61.02 0.86 1599488
17 32 63.83 63.24 0.58 1530376
17 32 63.70 62.99 0.71 1599088
17 32 64.43 63.70 0.72 1589548
17 32 61.78 61.05 0.73 1524848
17 32 64.25 63.53 0.72 1524640
17 32 61.72 61.02 0.69 1500476
17 32 61.26 60.53 0.73 1511956
18 32 71.39 70.62 0.77 1665372
18 32 74.72 74.00 0.71 1667928
18 32 84.20 83.18 1.01 1964168
18 32 71.95 71.00 0.85 1692752
18 32 82.94 82.10 0.83 1968336
18 32 85.47 84.51 0.95 1958928
18 32 74.64 73.78 0.85 1637828
18 32 70.96 70.19 0.77 1667044
18 32 86.55 85.65 0.89 1930492
19 32 82.12 81.16 0.96 1807288
19 32 80.81 80.01 0.78 1809816
19 32 78.85 77.89 0.86 1782092
19 32 79.57 78.83 0.73 1794728
20 32 105.67 104.57 1.07 2264232
20 32 107.30 106.15 1.14 2343488
20 32 89.68 88.78 0.89 1840624
20 32 94.98 93.94 1.02 1982408
20 32 94.16 93.24 0.91 1860724
20 32 92.13 91.05 0.98 1945680
21 32 106.43 105.45 0.98 2099056
22 32 113.42 112.35 1.07 2340888
23 32 142.81 141.64 1.17 2469300
23 32 143.29 142.17 1.10 2474752
24 32 163.07 161.85 1.21 2618844
24 32 169.87 168.64 1.21 2781904
25 32 213.19 211.84 1.35 2884620
