bitwidth nlimbs real user sys mem
32 9 23.45 23.07 0.37 871932
32 9 23.56 23.21 0.34 880352
32 9 23.72 23.33 0.39 879036
32 9 23.16 22.79 0.36 879824
32 9 23.18 22.78 0.37 879960
32 9 23.08 22.69 0.39 882404
32 9 23.24 22.91 0.33 879628
64 9 24.42 24.00 0.41 879316
64 9 24.13 23.79 0.33 887572
64 9 31.64 31.21 0.41 981828
64 9 24.87 24.45 0.41 886244
64 9 24.89 24.51 0.37 884492
64 9 24.97 24.56 0.39 892164
64 9 25.40 24.91 0.47 894100
64 9 25.18 24.77 0.40 890216
64 9 25.35 24.88 0.40 889976
64 9 25.31 24.91 0.39 889948
32 10 33.80 33.34 0.45 1030256
32 10 33.91 33.41 0.50 1033944
32 10 26.89 26.46 0.42 924460
32 10 25.92 25.51 0.41 921456
32 10 25.84 25.45 0.38 911556
32 10 26.79 26.26 0.49 916200
32 10 26.70 26.27 0.43 918340
32 10 25.99 25.59 0.40 924968
32 10 26.57 26.15 0.41 926376
32 10 25.87 25.48 0.38 923652
64 10 27.25 26.85 0.39 925756
64 10 35.62 35.06 0.55 1036392
64 10 35.72 35.18 0.47 1036656
64 10 34.45 34.02 0.42 1034648
64 10 28.16 27.76 0.39 935264
64 10 27.40 27.04 0.36 932456
64 10 28.51 28.02 0.37 936328
64 10 28.28 27.82 0.46 931716
64 10 28.48 28.12 0.36 930340
64 10 27.33 26.93 0.40 927908
64 10 28.25 27.79 0.46 929208
32 11 29.32 28.86 0.45 972772
32 11 30.37 29.91 0.46 961100
32 11 30.52 30.10 0.41 967768
32 11 29.53 29.05 0.44 977692
32 11 31.11 30.64 0.46 980424
32 11 31.11 30.65 0.45 977776
64 11 32.61 32.18 0.42 979108
64 11 32.89 32.41 0.47 979404
64 11 31.98 31.52 0.44 981972
32 12 35.11 34.63 0.47 1033392
32 12 35.21 34.69 0.47 1027268
32 12 41.78 41.22 0.55 1187008
32 12 35.12 34.68 0.43 1035456
32 12 33.99 33.51 0.47 1035856
32 12 35.38 34.95 0.43 1026840
32 12 42.36 41.78 0.57 1172376
32 12 35.24 34.80 0.43 1026992
32 13 40.01 39.31 0.47 1088952
32 13 46.96 46.39 0.56 1221220
32 13 38.22 37.71 0.50 1095320
32 13 39.70 39.16 0.52 1115796
32 13 39.86 39.30 0.49 1115784
32 13 39.77 39.22 0.54 1111292
32 14 54.90 54.22 0.66 1435596
32 14 43.74 43.18 0.55 1172060
32 14 43.57 43.04 0.52 1172456
32 15 48.99 48.47 0.51 1264452
32 15 47.49 46.95 0.53 1264932
32 15 49.19 48.59 0.59 1226040
32 15 49.06 48.34 0.71 1220036
32 16 57.04 56.32 0.71 1445876
32 16 57.69 56.83 0.77 1443764
32 16 57.51 56.83 0.67 1440796
32 16 57.60 56.96 0.64 1441744
32 16 55.54 54.86 0.67 1443068
32 16 57.33 56.65 0.66 1430664
32 16 55.22 54.61 0.61 1461540
