Tactic call make_T_rect ran for 0.023 secs (0.023u,0.s)
Tactic call making ran for 0.618 secs (0.618u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 0.624 secs (0.624u,0.s) (success)
Params: n= 67
Tactic call make_Ts ran for 0.327 secs (0.324u,0.003s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.122 secs (0.118u,0.003s)
Tactic call make_Build_T ran for 0.012 secs (0.012u,0.s)
Tactic call eta-make-let-ins ran for 0.105 secs (0.105u,0.s)
Tactic call eta-make-pf ran for 0.029 secs (0.029u,0.s)
Tactic call eta-constr-pf ran for 0.004 secs (0.004u,0.s)
Tactic call eta-cast-pf ran for 0.02 secs (0.02u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.187 secs (0.187u,0.s)
Tactic call make_f_ty ran for 0.016 secs (0.016u,0.s)
Tactic call make_T_rect ran for 0.022 secs (0.022u,0.s)
Tactic call making ran for 0.673 secs (0.665u,0.007s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 0.678 secs (0.67u,0.007s) (success)
Params: n= 68
Tactic call make_Ts ran for 0.355 secs (0.351u,0.003s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.127 secs (0.123u,0.003s)
Tactic call make_Build_T ran for 0.012 secs (0.012u,0.s)
Tactic call eta-make-let-ins ran for 0.127 secs (0.127u,0.s)
Tactic call eta-make-pf ran for 0.02 secs (0.02u,0.s)
Tactic call eta-constr-pf ran for 0.004 secs (0.004u,0.s)
Tactic call eta-cast-pf ran for 0.031 secs (0.031u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.207 secs (0.207u,0.s)
Tactic call make_f_ty ran for 0.016 secs (0.016u,0.s)
Tactic call make_T_rect ran for 0.022 secs (0.022u,0.s)
Tactic call making ran for 0.727 secs (0.719u,0.007s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 0.732 secs (0.724u,0.007s) (success)
Params: n= 69
Tactic call make_Ts ran for 0.393 secs (0.393u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.142 secs (0.142u,0.s)
Tactic call make_Build_T ran for 0.013 secs (0.013u,0.s)
Tactic call eta-make-let-ins ran for 0.13 secs (0.13u,0.s)
Tactic call eta-make-pf ran for 0.022 secs (0.022u,0.s)
Tactic call eta-constr-pf ran for 0.004 secs (0.004u,0.s)
Tactic call eta-cast-pf ran for 0.031 secs (0.031u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.215 secs (0.215u,0.s)
Tactic call make_f_ty ran for 0.017 secs (0.017u,0.s)
Tactic call make_T_rect ran for 0.023 secs (0.023u,0.s)
Tactic call making ran for 0.787 secs (0.787u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 0.793 secs (0.793u,0.s) (success)
Params: n= 70
Tactic call make_Ts ran for 0.425 secs (0.425u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.164 secs (0.164u,0.s)
Tactic call make_Build_T ran for 0.014 secs (0.014u,0.s)
Tactic call eta-make-let-ins ran for 0.136 secs (0.136u,0.s)
Tactic call eta-make-pf ran for 0.035 secs (0.035u,0.s)
Tactic call eta-constr-pf ran for 0.004 secs (0.004u,0.s)
Tactic call eta-cast-pf ran for 0.022 secs (0.022u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.002 secs (0.002u,0.s)
Tactic call make_T_eta ran for 0.228 secs (0.228u,0.s)
Tactic call make_f_ty ran for 0.018 secs (0.018u,0.s)
Tactic call make_T_rect ran for 0.024 secs (0.024u,0.s)
Tactic call making ran for 0.857 secs (0.857u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 0.863 secs (0.863u,0.s) (success)
Params: n= 71
Tactic call make_Ts ran for 0.453 secs (0.453u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.173 secs (0.173u,0.s)
Tactic call make_Build_T ran for 0.014 secs (0.014u,0.s)
Tactic call eta-make-let-ins ran for 0.141 secs (0.141u,0.s)
Tactic call eta-make-pf ran for 0.025 secs (0.025u,0.s)
Tactic call eta-constr-pf ran for 0.004 secs (0.004u,0.s)
Tactic call eta-cast-pf ran for 0.029 secs (0.029u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.236 secs (0.236u,0.s)
Tactic call make_f_ty ran for 0.018 secs (0.018u,0.s)
Tactic call make_T_rect ran for 0.024 secs (0.024u,0.s)
Tactic call making ran for 0.902 secs (0.902u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 0.907 secs (0.907u,0.s) (success)
Params: n= 72
Tactic call make_Ts ran for 0.481 secs (0.477u,0.003s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.175 secs (0.175u,0.s)
Tactic call make_Build_T ran for 0.016 secs (0.016u,0.s)
Tactic call eta-make-let-ins ran for 0.145 secs (0.141u,0.003s)
Tactic call eta-make-pf ran for 0.022 secs (0.022u,0.s)
Tactic call eta-constr-pf ran for 0.004 secs (0.004u,0.s)
Tactic call eta-cast-pf ran for 0.029 secs (0.029u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.236 secs (0.231u,0.004s)
Tactic call make_f_ty ran for 0.018 secs (0.018u,0.s)
Tactic call make_T_rect ran for 0.025 secs (0.025u,0.s)
Tactic call making ran for 0.935 secs (0.927u,0.007s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 0.941 secs (0.933u,0.007s) (success)
Params: n= 73
Tactic call make_Ts ran for 0.513 secs (0.513u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.192 secs (0.192u,0.s)
Tactic call make_Build_T ran for 0.015 secs (0.015u,0.s)
Tactic call eta-make-let-ins ran for 0.147 secs (0.147u,0.s)
Tactic call eta-make-pf ran for 0.029 secs (0.029u,0.s)
Tactic call eta-constr-pf ran for 0.004 secs (0.004u,0.s)
Tactic call eta-cast-pf ran for 0.027 secs (0.027u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.242 secs (0.242u,0.s)
Tactic call make_f_ty ran for 0.018 secs (0.018u,0.s)
Tactic call make_T_rect ran for 0.025 secs (0.025u,0.s)
Tactic call making ran for 0.99 secs (0.99u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 0.996 secs (0.996u,0.s) (success)
Params: n= 74
Tactic call make_Ts ran for 0.552 secs (0.552u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.214 secs (0.214u,0.s)
Tactic call make_Build_T ran for 0.016 secs (0.016u,0.s)
Tactic call eta-make-let-ins ran for 0.165 secs (0.165u,0.s)
