Params: n= 205 , #replace-transaction=record
Finished transaction in 0.167 secs (0.11u,0.056s) (successful)
Tactic call build ran for 0. secs (0.u,0.s)
Tactic call assert ran for 0. secs (0.u,0.s) (success)
Tactic call destruct ran for 0.024 secs (0.024u,0.s) (success)
Tactic call cbn ran for 0. secs (0.u,0.s) (success)
Params: n= 210 , #replace-transaction=record
Finished transaction in 0.119 secs (0.119u,0.s) (successful)
Tactic call build ran for 0. secs (0.u,0.s)
Tactic call assert ran for 0. secs (0.u,0.s) (success)
Tactic call destruct ran for 0.025 secs (0.025u,0.s) (success)
Tactic call cbn ran for 0. secs (0.u,0.s) (success)
Params: n= 215 , #replace-transaction=record
Finished transaction in 0.117 secs (0.117u,0.s) (successful)
Tactic call build ran for 0. secs (0.u,0.s)
Tactic call assert ran for 0. secs (0.u,0.s) (success)
Tactic call destruct ran for 0.024 secs (0.024u,0.s) (success)
Tactic call cbn ran for 0. secs (0.u,0.s) (success)
Params: n= 220 , #replace-transaction=record
Finished transaction in 0.169 secs (0.169u,0.s) (successful)
Tactic call build ran for 0. secs (0.u,0.s)
Tactic call assert ran for 0. secs (0.u,0.s) (success)
Tactic call destruct ran for 0.025 secs (0.025u,0.s) (success)
Tactic call cbn ran for 0. secs (0.u,0.s) (success)
Params: n= 225 , #replace-transaction=record
Finished transaction in 0.19 secs (0.19u,0.s) (successful)
Tactic call build ran for 0. secs (0.u,0.s)
Tactic call assert ran for 0. secs (0.u,0.s) (success)
Tactic call destruct ran for 0.026 secs (0.026u,0.s) (success)
Tactic call cbn ran for 0. secs (0.u,0.s) (success)
Params: n= 230 , #replace-transaction=record
Finished transaction in 0.143 secs (0.143u,0.s) (successful)
Tactic call build ran for 0. secs (0.u,0.s)
Tactic call assert ran for 0. secs (0.u,0.s) (success)
Tactic call destruct ran for 0.027 secs (0.027u,0.s) (success)
Tactic call cbn ran for 0. secs (0.u,0.s) (success)
Params: n= 235 , #replace-transaction=record
Finished transaction in 0.231 secs (0.231u,0.s) (successful)
Tactic call build ran for 0. secs (0.u,0.s)
Tactic call assert ran for 0. secs (0.u,0.s) (success)
Tactic call destruct ran for 0.029 secs (0.029u,0.s) (success)
Tactic call cbn ran for 0. secs (0.u,0.s) (success)
Params: n= 240 , #replace-transaction=record
