param-n,build-real,build-sys,build-user,build-and-refine-real,build-and-refine-sys,build-and-refine-user,refine-real,refine-sys,refine-user,to-constr-real,to-constr-sys,to-constr-user,type-of-real,type-of-sys,type-of-user
5100,0.129,0.,0.129,1.086,0.003,1.082,0.166,0.,0.166,0.233,0.003,0.229,0.556,0.,0.556
5200,0.183,0.,0.183,1.234,0.003,1.23,0.172,0.,0.172,0.235,0.003,0.231,0.644,0.,0.644
5300,0.112,0.,0.112,1.147,0.,1.147,0.18,0.,0.18,0.251,0.,0.251,0.602,0.,0.602
5400,0.153,0.007,0.145,1.235,0.028,1.207,0.187,0.,0.187,0.28,0.02,0.26,0.614,0.,0.614
5500,0.679,0.011,0.667,1.897,0.015,1.881,0.194,0.,0.194,0.264,0.004,0.26,0.76,0.,0.76
5600,0.123,0.,0.123,1.291,0.007,1.283,0.201,0.,0.201,0.279,0.007,0.271,0.686,0.,0.686
5700,0.16,0.,0.16,1.379,0.035,1.343,0.208,0.,0.208,0.318,0.035,0.282,0.692,0.,0.692
5800,0.15,0.003,0.146,1.44,0.04,1.4,0.217,0.,0.217,0.632,0.036,0.596,0.439,0.,0.439
5900,0.21,0.003,0.206,1.537,0.016,1.521,0.224,0.,0.224,0.34,0.012,0.328,0.761,0.,0.761
6000,0.183,0.012,0.171,1.529,0.039,1.489,0.232,0.,0.232,0.353,0.027,0.325,0.76,0.,0.76
6100,0.187,0.003,0.183,1.606,0.031,1.574,0.24,0.,0.24,0.358,0.027,0.33,0.819,0.,0.819
6200,0.702,0.039,0.662,2.211,0.04,2.171,0.249,0.,0.249,0.334,0.,0.334,0.925,0.,0.925
6300,0.128,0.,0.128,1.612,0.016,1.596,0.257,0.,0.257,0.363,0.015,0.347,0.862,0.,0.862
6400,0.172,0.011,0.16,1.76,0.047,1.712,0.265,0.,0.265,0.401,0.035,0.365,0.921,0.,0.921
6500,0.144,0.004,0.14,1.581,0.056,1.525,0.274,0.,0.274,0.599,0.052,0.547,0.562,0.,0.562
6600,0.223,0.011,0.211,1.69,0.047,1.642,0.283,0.,0.283,0.498,0.035,0.462,0.685,0.,0.685
6700,0.149,0.011,0.137,1.744,0.055,1.688,0.292,0.,0.292,0.451,0.043,0.407,0.851,0.,0.851
6800,0.143,0.003,0.139,2.451,0.056,2.394,0.301,0.,0.301,0.416,0.004,0.412,1.589,0.048,1.541
6900,0.226,0.,0.226,2.019,0.,2.019,0.31,0.,0.31,0.411,0.,0.411,1.07,0.,1.07
7000,0.189,0.012,0.177,1.831,0.072,1.759,0.305,0.,0.305,0.56,0.06,0.5,0.776,0.,0.776
7100,0.286,0.011,0.274,1.989,0.067,1.921,0.314,0.,0.314,0.607,0.052,0.555,0.78,0.003,0.777
7200,0.174,0.012,0.162,1.972,0.075,1.896,0.323,0.,0.323,0.792,0.063,0.728,0.681,0.,0.681
7300,0.216,0.,0.216,2.187,0.019,2.167,0.333,0.,0.333,0.478,0.019,0.458,1.159,0.,1.159
7400,0.249,0.003,0.245,2.368,0.079,2.288,0.341,0.,0.341,0.531,0.075,0.455,1.246,0.,1.246
