param-n,uconstr-I-1000-real,uconstr-I-1000-sys,uconstr-I-1000-user
242,0.017,0.,0.017
243,0.02,0.003,0.016
244,0.017,0.,0.017
245,0.017,0.,0.017
246,0.02,0.,0.02
247,0.017,0.,0.017
248,0.017,0.,0.017
249,0.02,0.,0.02
250,0.018,0.,0.018
251,0.017,0.,0.017
252,0.02,0.,0.02
253,0.017,0.,0.017
254,0.017,0.,0.017
255,0.019,0.,0.019
256,0.018,0.,0.018
257,0.018,0.,0.018
258,0.017,0.,0.017
259,0.018,0.,0.018
260,0.018,0.,0.018
261,0.017,0.,0.017
262,0.018,0.,0.018
263,0.018,0.,0.018
264,0.017,0.,0.017
265,0.017,0.,0.017
266,0.017,0.,0.017
267,0.018,0.,0.018
268,0.018,0.,0.018
269,0.017,0.,0.017
270,0.017,0.,0.017
271,0.017,0.,0.017
272,0.017,0.,0.017
273,0.018,0.,0.018
274,0.018,0.,0.018
275,0.017,0.,0.017
276,0.018,0.,0.018
277,0.017,0.,0.017
278,0.018,0.,0.018
279,0.018,0.,0.018
280,0.018,0.,0.018
281,0.018,0.,0.018
282,0.018,0.,0.018
283,0.019,0.,0.019
284,0.018,0.,0.018
285,0.018,0.,0.018
286,0.018,0.,0.018
287,0.018,0.,0.018
288,0.019,0.,0.019
289,0.018,0.,0.018
290,0.018,0.,0.018
291,0.018,0.,0.018
292,0.018,0.,0.018
293,0.018,0.,0.018
294,0.018,0.,0.018
295,0.018,0.,0.018
296,0.018,0.,0.018
297,0.018,0.,0.018
298,0.018,0.,0.018
299,0.018,0.,0.018
300,0.018,0.,0.018
301,0.018,0.,0.018
302,0.019,0.,0.019
303,0.018,0.,0.018
304,0.018,0.,0.018
305,0.018,0.,0.018
306,0.018,0.,0.018
307,0.018,0.003,0.014
308,0.019,0.,0.019
309,0.018,0.,0.018
310,0.018,0.,0.018
311,0.018,0.,0.018
312,0.019,0.,0.019
313,0.018,0.,0.018
314,0.018,0.,0.018
315,0.018,0.,0.018
316,0.018,0.,0.018
317,0.019,0.,0.019
318,0.02,0.007,0.012
319,0.019,0.,0.019
320,0.019,0.,0.019
321,0.019,0.,0.019
322,0.018,0.,0.018
323,0.019,0.,0.019
324,0.019,0.,0.019
325,0.02,0.,0.02
326,0.019,0.,0.019
327,0.02,0.,0.02
328,0.019,0.,0.019
329,0.019,0.,0.019
330,0.019,0.,0.019
331,0.019,0.,0.019
332,0.019,0.,0.019
333,0.019,0.,0.019
334,0.02,0.,0.02
335,0.019,0.,0.019
336,0.019,0.,0.019
337,0.02,0.,0.02
338,0.02,0.,0.02
339,0.02,0.,0.02
340,0.019,0.,0.019
341,0.019,0.,0.019
342,0.019,0.,0.019
343,0.02,0.,0.02
344,0.02,0.003,0.016
345,0.019,0.,0.019
346,0.019,0.,0.019
