param-n cbn-real cbn-sys cbn-user repeat-destruct-real repeat-destruct-sys repeat-destruct-user
0 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0.001 0. 0.001
3 0. 0. 0. 0.003 0. 0.003
4 0. 0. 0. 0.009 0.007 0.002
5 0. 0. 0. 0.024 0.012 0.012
6 0. 0. 0. 0.089 0.015 0.074
7 0. 0. 0. 0.086 0. 0.086
8 0. 0. 0. 0.241 0. 0.221
9 0.002 0. 0.002 0.625 0. 0.624
10 0.006 0. 0.006 1.505 0.007 1.498
11 0.033 0. 0.033 3.519 0.012 3.507
12 0.072 0. 0.072 8.036 0.023 8.012
13 0.148 0. 0.148 17.257 0.04 17.217
14 0.259 0. 0.259 37.455 0.147 37.307
15 0.294 0. 0.294 80.625 0.203 80.419
16 0.876 0. 0.876 177.978 0.231 177.715
