param-n,cbv-real,cbv-sys,cbv-user
0,0.,0.,0.
1,0.,0.,0.
2,0.,0.,0.
10,0.,0.,0.
20,0.,0.,0.
30,0.,0.,0.
40,0.,0.,0.
50,0.001,0.,0.001
60,0.001,0.,0.001
70,0.002,0.,0.002
80,0.003,0.,0.003
90,0.004,0.,0.004
100,0.005,0.,0.005
110,0.006,0.,0.006
120,0.008,0.,0.008
130,0.013,0.,0.013
140,0.01,0.,0.01
150,0.012,0.,0.012
160,0.014,0.,0.014
170,0.022,0.,0.022
180,0.018,0.,0.018
190,0.029,0.003,0.025
200,0.022,0.,0.022
210,0.043,0.,0.043
220,0.031,0.,0.028
230,0.041,0.,0.041
240,0.05,0.,0.05
250,0.036,0.,0.036
260,0.052,0.,0.052
270,0.066,0.,0.065
280,0.072,0.,0.072
290,0.087,0.,0.087
300,0.072,0.,0.071
310,0.053,0.,0.053
320,0.077,0.,0.077
330,0.114,0.011,0.103
340,0.091,0.,0.09
350,0.078,0.,0.078
360,0.125,0.007,0.117
370,0.12,0.,0.119
380,0.173,0.003,0.168
390,0.185,0.,0.184
400,0.131,0.015,0.115
410,0.163,0.,0.163
420,0.167,0.,0.167
430,0.194,0.,0.194
440,0.207,0.,0.207
450,0.151,0.,0.151
460,0.214,0.,0.214
470,0.18,0.,0.18
480,0.205,0.,0.205
490,0.276,0.,0.276
500,0.213,0.007,0.205
510,0.205,0.,0.205
520,0.257,0.007,0.248
530,0.235,0.,0.235
540,0.308,0.,0.307
550,0.237,0.,0.237
560,0.288,0.007,0.279
570,0.273,0.,0.273
580,0.529,0.,0.528
590,0.288,0.,0.287
600,0.294,0.,0.293
610,0.313,0.003,0.309
620,0.391,0.,0.391
630,0.301,0.,0.301
640,0.376,0.,0.375
650,0.367,0.,0.366
660,0.369,0.,0.369
670,0.419,0.02,0.398
680,0.62,0.004,0.615
690,0.481,0.,0.48
700,0.353,0.004,0.349
710,0.42,0.,0.419
720,0.496,0.02,0.476
730,0.431,0.02,0.411
740,0.534,0.02,0.513
750,0.478,0.007,0.469
760,0.483,0.,0.483
770,0.55,0.,0.55
780,0.525,0.,0.525
790,0.776,0.,0.775
800,0.498,0.,0.497
810,0.596,0.,0.595
820,0.545,0.,0.545
830,0.612,0.,0.611
840,0.62,0.,0.62
850,0.631,0.,0.63
860,0.663,0.,0.662
870,0.705,0.,0.705
880,0.724,0.,0.723
890,0.712,0.,0.712
900,0.695,0.,0.695
910,0.764,0.,0.763
920,0.719,0.,0.718
930,0.831,0.,0.83
940,0.741,0.,0.74
950,0.799,0.,0.798
960,1.044,0.,1.043
970,0.675,0.,0.674
980,0.873,0.,0.872
990,1.146,0.023,1.121
1000,0.803,0.043,0.759
1100,1.012,0.024,0.988
1200,1.212,0.032,1.18
1300,1.365,0.027,1.337
1400,1.593,0.,1.592
1500,1.886,0.015,1.87
1600,2.388,0.072,2.316
1700,2.2,0.,2.2
1800,3.013,0.,3.013
1900,2.826,0.035,2.79
2000,3.619,0.,3.619
2100,3.403,0.027,3.375
2200,4.635,0.099,4.535
2300,4.533,0.207,4.325
2400,5.503,0.175,5.327
2500,5.591,0.119,5.471
2600,6.18,0.028,6.152
2700,6.57,0.087,6.482
2800,6.494,0.115,6.378
2900,7.222,0.068,7.154
