param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,refine-real,refine-sys,refine-user,typecheck-real,typecheck-sys,typecheck-user
73,0.002,0.,0.002,0.007,0.,0.007,0.004,0.,0.004,0.004,0.,0.004
74,0.002,0.,0.002,0.007,0.,0.007,0.004,0.,0.004,0.005,0.,0.005
75,0.002,0.,0.002,0.007,0.,0.007,0.005,0.,0.005,0.005,0.,0.005
76,0.002,0.,0.002,0.007,0.,0.007,0.005,0.,0.005,0.005,0.,0.005
77,0.003,0.,0.003,0.008,0.,0.008,0.005,0.,0.005,0.004,0.,0.004
78,0.002,0.,0.002,0.007,0.,0.007,0.005,0.,0.005,0.005,0.,0.005
79,0.002,0.,0.002,0.008,0.,0.008,0.005,0.,0.005,0.005,0.,0.005
80,0.002,0.,0.002,0.008,0.,0.008,0.005,0.,0.005,0.005,0.,0.005
81,0.002,0.,0.002,0.008,0.,0.008,0.005,0.,0.005,0.005,0.,0.005
82,0.002,0.,0.002,0.008,0.,0.008,0.005,0.,0.005,0.005,0.,0.005
83,0.002,0.,0.002,0.008,0.,0.008,0.005,0.,0.005,0.005,0.,0.005
84,0.002,0.,0.002,0.009,0.,0.009,0.006,0.,0.006,0.006,0.,0.006
85,0.002,0.,0.002,0.008,0.,0.008,0.006,0.,0.006,0.006,0.,0.006
86,0.002,0.,0.002,0.009,0.,0.009,0.006,0.,0.006,0.006,0.,0.006
87,0.002,0.,0.002,0.009,0.,0.009,0.006,0.,0.006,0.006,0.,0.006
88,0.002,0.,0.002,0.009,0.,0.009,0.007,0.,0.007,0.006,0.,0.006
89,0.002,0.,0.002,0.009,0.,0.009,0.006,0.,0.006,0.006,0.,0.006
90,0.002,0.,0.002,0.009,0.,0.009,0.007,0.,0.007,0.006,0.,0.006
91,0.002,0.,0.002,0.01,0.,0.01,0.007,0.,0.007,0.007,0.,0.007
92,0.002,0.,0.002,0.01,0.,0.01,0.007,0.,0.007,0.007,0.,0.007
93,0.003,0.,0.003,0.01,0.,0.01,0.007,0.,0.007,0.007,0.,0.007
94,0.003,0.,0.003,0.011,0.,0.011,0.007,0.,0.007,0.008,0.,0.008
95,0.003,0.,0.003,0.01,0.,0.01,0.007,0.,0.007,0.007,0.,0.007
96,0.003,0.,0.003,0.012,0.,0.012,0.007,0.,0.007,0.008,0.,0.008
97,0.003,0.,0.003,0.01,0.,0.01,0.007,0.,0.007,0.007,0.,0.007
98,0.003,0.,0.003,0.011,0.,0.011,0.007,0.,0.007,0.007,0.,0.007
99,0.003,0.,0.003,0.011,0.,0.011,0.008,0.,0.008,0.008,0.,0.008
100,0.003,0.,0.003,0.011,0.,0.011,0.008,0.,0.008,0.008,0.,0.008
101,0.003,0.,0.003,0.012,0.,0.012,0.009,0.,0.008,0.008,0.,0.008
102,0.016,0.,0.016,0.024,0.,0.024,0.008,0.,0.008,0.008,0.,0.008
103,0.003,0.,0.003,0.012,0.,0.012,0.023,0.,0.023,0.009,0.,0.009
104,0.003,0.,0.003,0.012,0.,0.012,0.009,0.003,0.005,0.009,0.,0.009
105,0.003,0.,0.003,0.013,0.,0.013,0.009,0.,0.009,0.01,0.,0.01
106,0.003,0.,0.003,0.013,0.,0.013,0.01,0.,0.01,0.009,0.,0.009
107,0.003,0.,0.003,0.013,0.,0.013,0.01,0.,0.01,0.01,0.,0.009
108,0.003,0.,0.003,0.014,0.,0.014,0.009,0.,0.009,0.011,0.,0.011
109,0.003,0.,0.003,0.013,0.,0.013,0.011,0.,0.011,0.01,0.,0.01
110,0.003,0.,0.003,0.013,0.,0.013,0.01,0.,0.01,0.01,0.,0.01
111,0.005,0.,0.005,0.015,0.,0.015,0.01,0.,0.01,0.01,0.,0.01
112,0.003,0.,0.003,0.015,0.,0.015,0.01,0.,0.01,0.011,0.,0.011
113,0.003,0.,0.003,0.014,0.,0.014,0.011,0.,0.011,0.01,0.,0.01
114,0.003,0.,0.003,0.015,0.,0.015,0.011,0.,0.011,0.011,0.,0.011
115,0.004,0.,0.004,0.016,0.,0.016,0.011,0.,0.011,0.011,0.,0.011
116,0.003,0.,0.003,0.016,0.,0.016,0.011,0.,0.011,0.012,0.,0.012
117,0.003,0.,0.003,0.015,0.,0.015,0.013,0.,0.013,0.011,0.,0.011
118,0.004,0.,0.004,0.016,0.,0.016,0.014,0.,0.014,0.011,0.,0.011
119,0.004,0.,0.004,0.016,0.,0.016,0.012,0.,0.012,0.012,0.,0.012
120,0.004,0.,0.004,0.018,0.,0.018,0.012,0.,0.012,0.014,0.,0.014
121,0.004,0.,0.004,0.017,0.,0.017,0.012,0.,0.012,0.013,0.,0.013
122,0.004,0.,0.004,0.018,0.,0.018,0.013,0.,0.013,0.013,0.,0.013
123,0.004,0.,0.004,0.017,0.,0.017,0.014,0.,0.014,0.013,0.,0.013
124,0.004,0.,0.004,0.017,0.,0.017,0.015,0.,0.015,0.013,0.,0.013
125,0.004,0.,0.004,0.017,0.,0.017,0.013,0.,0.013,0.013,0.,0.013
126,0.004,0.,0.004,0.017,0.,0.017,0.013,0.,0.013,0.013,0.,0.013
127,0.005,0.,0.005,0.019,0.,0.019,0.013,0.,0.013,0.013,0.,0.013
128,0.004,0.,0.004,0.018,0.,0.018,0.013,0.,0.013,0.014,0.,0.014
129,0.004,0.,0.004,0.019,0.,0.019,0.014,0.,0.014,0.014,0.,0.014
130,0.004,0.,0.004,0.02,0.,0.02,0.014,0.,0.014,0.016,0.,0.016
131,0.004,0.,0.004,0.021,0.,0.021,0.015,0.,0.015,0.017,0.,0.017
132,0.004,0.,0.004,0.021,0.,0.021,0.014,0.,0.014,0.016,0.,0.016
133,0.004,0.,0.004,0.021,0.003,0.017,0.015,0.,0.014,0.016,0.003,0.012
134,0.004,0.,0.004,0.021,0.,0.021,0.014,0.,0.014,0.016,0.,0.016
135,0.004,0.,0.004,0.022,0.,0.022,0.015,0.,0.015,0.017,0.,0.017
136,0.004,0.,0.004,0.022,0.,0.022,0.015,0.,0.015,0.017,0.,0.017
137,0.004,0.,0.004,0.022,0.,0.022,0.016,0.,0.016,0.017,0.,0.017
138,0.004,0.,0.004,0.022,0.003,0.018,0.015,0.,0.015,0.017,0.003,0.013
139,0.004,0.,0.004,0.022,0.,0.022,0.017,0.,0.017,0.018,0.,0.018
140,0.006,0.003,0.003,0.023,0.003,0.019,0.016,0.,0.016,0.016,0.,0.016
141,0.004,0.,0.004,0.021,0.,0.021,0.017,0.,0.017,0.017,0.,0.017
142,0.004,0.,0.004,0.022,0.,0.022,0.018,0.,0.018,0.017,0.,0.017
143,0.004,0.,0.004,0.022,0.,0.022,0.017,0.,0.017,0.017,0.,0.017
144,0.004,0.,0.004,0.022,0.,0.022,0.019,0.,0.019,0.017,0.,0.017
145,0.004,0.,0.004,0.024,0.,0.024,0.017,0.,0.017,0.019,0.,0.019
146,0.004,0.,0.004,0.025,0.,0.025,0.018,0.,0.018,0.02,0.,0.02
147,0.005,0.,0.005,0.023,0.,0.023,0.017,0.,0.017,0.017,0.,0.017
148,0.004,0.,0.004,0.023,0.,0.023,0.019,0.,0.019,0.018,0.,0.018
149,0.004,0.,0.004,0.023,0.,0.023,0.02,0.,0.02,0.018,0.,0.018
150,0.005,0.,0.005,0.025,0.,0.025,0.018,0.,0.018,0.02,0.,0.02
151,0.005,0.,0.005,0.026,0.,0.026,0.019,0.003,0.015,0.021,0.,0.021
152,0.006,0.,0.006,0.026,0.,0.026,0.021,0.,0.021,0.02,0.,0.02
153,0.005,0.,0.005,0.025,0.,0.025,0.02,0.,0.02,0.02,0.,0.02
154,0.005,0.,0.005,0.026,0.,0.026,0.021,0.,0.021,0.021,0.,0.021
155,0.005,0.,0.005,0.028,0.,0.028,0.022,0.,0.022,0.022,0.,0.022
156,0.005,0.,0.005,0.026,0.,0.026,0.023,0.,0.023,0.021,0.,0.021
157,0.005,0.,0.005,0.029,0.,0.029,0.021,0.,0.021,0.023,0.,0.023
158,0.005,0.,0.005,0.028,0.,0.028,0.022,0.,0.022,0.022,0.,0.022
159,0.005,0.,0.005,0.027,0.,0.027,0.023,0.,0.023,0.021,0.,0.021
160,0.005,0.,0.005,0.03,0.,0.03,0.023,0.,0.023,0.024,0.,0.024
161,0.008,0.003,0.004,0.03,0.003,0.026,0.023,0.,0.023,0.021,0.,0.021
162,0.005,0.,0.005,0.029,0.,0.029,0.021,0.,0.021,0.023,0.,0.023
163,0.005,0.,0.005,0.03,0.,0.03,0.024,0.,0.024,0.024,0.,0.024
164,0.005,0.,0.005,0.031,0.,0.031,0.023,0.,0.023,0.025,0.,0.025
165,0.005,0.,0.005,0.029,0.,0.029,0.024,0.,0.024,0.023,0.,0.023
166,0.005,0.,0.005,0.029,0.,0.029,0.025,0.,0.025,0.023,0.,0.023
167,0.005,0.,0.005,0.031,0.,0.031,0.027,0.,0.027,0.025,0.,0.025
168,0.005,0.,0.005,0.029,0.,0.029,0.028,0.,0.028,0.024,0.,0.024
169,0.005,0.,0.005,0.03,0.,0.03,0.024,0.,0.024,0.024,0.,0.024
170,0.005,0.,0.005,0.034,0.,0.034,0.024,0.,0.024,0.028,0.,0.028
171,0.005,0.,0.005,0.035,0.,0.035,0.026,0.,0.026,0.029,0.,0.029
172,0.005,0.,0.005,0.032,0.,0.032,0.025,0.,0.025,0.027,0.,0.027
173,0.007,0.,0.007,0.032,0.,0.032,0.026,0.,0.026,0.024,0.,0.024
174,0.005,0.,0.005,0.032,0.,0.032,0.026,0.,0.026,0.026,0.,0.026
175,0.006,0.,0.006,0.036,0.,0.036,0.025,0.,0.025,0.03,0.,0.03
176,0.005,0.,0.005,0.036,0.,0.036,0.027,0.,0.027,0.03,0.,0.03
177,0.005,0.,0.005,0.035,0.,0.035,0.029,0.,0.029,0.029,0.,0.029
178,0.005,0.,0.005,0.036,0.,0.036,0.027,0.,0.027,0.03,0.,0.03
179,0.006,0.,0.006,0.032,0.,0.032,0.027,0.,0.027,0.026,0.,0.026
180,0.006,0.,0.006,0.034,0.,0.034,0.028,0.,0.028,0.028,0.,0.028
181,0.006,0.,0.006,0.037,0.,0.037,0.027,0.,0.027,0.03,0.,0.03
182,0.006,0.,0.006,0.034,0.,0.034,0.029,0.,0.029,0.028,0.,0.028
183,0.006,0.,0.006,0.037,0.,0.037,0.032,0.,0.032,0.03,0.,0.03
184,0.006,0.,0.006,0.038,0.,0.038,0.032,0.,0.032,0.032,0.,0.032
