param-n,constr-final-goal-make-final-goal-real,constr-final-goal-make-final-goal-sys,constr-final-goal-make-final-goal-user,eta-cast-pf-real,eta-cast-pf-sys,eta-cast-pf-user,eta-constr-pf-real,eta-constr-pf-sys,eta-constr-pf-user,eta-make-let-ins-real,eta-make-let-ins-sys,eta-make-let-ins-user,eta-make-pf-real,eta-make-pf-sys,eta-make-pf-user,eta-refine-real,eta-refine-sys,eta-refine-user,eta-refine-and-close-real,eta-refine-and-close-sys,eta-refine-and-close-user,everything-real,everything-sys,everything-user,make-Build-T-real,make-Build-T-sys,make-Build-T-user,make-T-real,make-T-sys,make-T-user,make-T-eta-real,make-T-eta-sys,make-T-eta-user,make-T-projs-real,make-T-projs-sys,make-T-projs-user,make-T-rect-real,make-T-rect-sys,make-T-rect-user,make-Ts-real,make-Ts-sys,make-Ts-user,make-f-ty-real,make-f-ty-sys,make-f-ty-user,making-real,making-sys,making-user
10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.066,0.,0.066,0.001,0.,0.001,0.,0.,0.,0.028,0.,0.028,0.007,0.,0.007,0.003,0.,0.003,0.023,0.,0.023,0.002,0.,0.002,0.065,0.,0.065
11,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.069,0.,0.069,0.001,0.,0.001,0.,0.,0.,0.027,0.,0.027,0.008,0.,0.008,0.003,0.,0.003,0.026,0.,0.026,0.002,0.,0.002,0.068,0.,0.067
12,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.012,0.,0.012,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.077,0.,0.077,0.001,0.,0.001,0.,0.,0.,0.03,0.,0.03,0.01,0.,0.01,0.004,0.,0.004,0.028,0.,0.028,0.002,0.,0.002,0.075,0.,0.075
13,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.014,0.,0.014,0.,0.,0.,0.,0.,0.,0.085,0.,0.085,0.001,0.,0.001,0.,0.,0.,0.035,0.,0.034,0.01,0.,0.01,0.004,0.,0.004,0.032,0.,0.032,0.002,0.,0.002,0.084,0.,0.084
14,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.028,0.,0.028,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.096,0.,0.096,0.002,0.,0.002,0.,0.,0.,0.039,0.,0.039,0.012,0.,0.012,0.004,0.,0.004,0.035,0.,0.035,0.002,0.,0.002,0.094,0.,0.094
15,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.097,0.,0.097,0.002,0.,0.002,0.,0.,0.,0.027,0.,0.027,0.021,0.,0.021,0.005,0.,0.004,0.038,0.,0.038,0.002,0.,0.002,0.095,0.,0.095
16,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.017,0.,0.017,0.005,0.,0.005,0.,0.,0.,0.,0.,0.,0.107,0.003,0.103,0.002,0.,0.002,0.,0.,0.,0.029,0.,0.029,0.014,0.,0.013,0.005,0.,0.005,0.052,0.003,0.048,0.003,0.,0.003,0.105,0.003,0.101
17,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.022,0.,0.022,0.005,0.,0.005,0.,0.,0.,0.,0.,0.,0.112,0.,0.112,0.002,0.,0.002,0.,0.,0.,0.035,0.,0.035,0.015,0.,0.015,0.005,0.,0.005,0.05,0.,0.05,0.003,0.,0.003,0.11,0.,0.11
18,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.02,0.,0.02,0.005,0.,0.005,0.,0.,0.,0.,0.,0.,0.12,0.,0.12,0.002,0.,0.002,0.007,0.,0.007,0.033,0.,0.033,0.017,0.,0.016,0.005,0.,0.005,0.052,0.,0.052,0.003,0.,0.003,0.119,0.,0.118
19,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.033,0.,0.033,0.005,0.,0.005,0.,0.,0.,0.,0.,0.,0.139,0.,0.139,0.002,0.,0.002,0.,0.,0.,0.047,0.,0.047,0.018,0.,0.018,0.006,0.,0.006,0.062,0.,0.062,0.003,0.,0.003,0.137,0.,0.137
20,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.024,0.,0.024,0.02,0.007,0.012,0.,0.,0.,0.,0.,0.,0.166,0.007,0.158,0.003,0.,0.003,0.,0.,0.,0.053,0.007,0.045,0.021,0.,0.021,0.006,0.,0.006,0.079,0.,0.079,0.003,0.,0.003,0.164,0.007,0.156
21,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.025,0.,0.025,0.006,0.,0.006,0.,0.,0.,0.,0.,0.,0.174,0.,0.174,0.003,0.,0.003,0.,0.,0.,0.051,0.,0.051,0.022,0.,0.022,0.006,0.,0.006,0.087,0.,0.087,0.004,0.,0.004,0.172,0.,0.172
22,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.028,0.,0.028,0.006,0.,0.006,0.,0.,0.,0.,0.,0.,0.181,0.,0.18,0.003,0.,0.003,0.,0.,0.,0.044,0.,0.044,0.038,0.,0.038,0.018,0.,0.018,0.072,0.,0.072,0.016,0.,0.016,0.179,0.,0.178
23,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.029,0.,0.029,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.181,0.,0.181,0.003,0.,0.003,0.,0.,0.,0.059,0.,0.058,0.028,0.,0.028,0.007,0.,0.007,0.079,0.,0.079,0.004,0.,0.004,0.179,0.,0.179
24,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.031,0.,0.031,0.025,0.,0.025,0.,0.,0.,0.,0.,0.,0.204,0.,0.203,0.004,0.,0.004,0.,0.,0.,0.066,0.,0.066,0.029,0.,0.029,0.007,0.,0.007,0.093,0.,0.093,0.004,0.,0.004,0.202,0.,0.201
25,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.048,0.003,0.044,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.211,0.003,0.206,0.003,0.,0.003,0.,0.,0.,0.066,0.003,0.062,0.029,0.,0.029,0.007,0.,0.007,0.1,0.,0.099,0.005,0.,0.005,0.208,0.003,0.204
26,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.034,0.,0.034,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.226,0.003,0.22,0.003,0.,0.003,0.,0.,0.,0.054,0.,0.053,0.044,0.003,0.04,0.012,0.,0.012,0.106,0.,0.105,0.009,0.,0.009,0.223,0.003,0.217
27,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.041,0.,0.041,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.235,0.,0.234,0.004,0.,0.004,0.,0.,0.,0.062,0.,0.062,0.039,0.,0.039,0.008,0.,0.008,0.116,0.,0.116,0.005,0.,0.005,0.232,0.,0.232
28,0.,0.,0.,0.019,0.,0.019,0.001,0.,0.001,0.039,0.,0.039,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.256,0.,0.255,0.004,0.,0.004,0.,0.,0.,0.077,0.,0.076,0.041,0.,0.041,0.008,0.,0.008,0.121,0.,0.12,0.005,0.,0.005,0.254,0.,0.253
29,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.041,0.,0.041,0.009,0.,0.009,0.,0.,0.,0.,0.,0.,0.275,0.,0.274,0.005,0.,0.005,0.,0.,0.,0.077,0.,0.077,0.04,0.,0.04,0.015,0.,0.015,0.133,0.,0.133,0.012,0.,0.012,0.272,0.,0.271
30,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.057,0.,0.056,0.009,0.,0.009,0.,0.,0.,0.,0.,0.,0.302,0.,0.301,0.005,0.,0.005,0.,0.,0.,0.08,0.,0.08,0.044,0.,0.044,0.025,0.,0.025,0.142,0.,0.142,0.021,0.,0.021,0.299,0.,0.298
31,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.002,0.059,0.002,0.057,0.009,0.,0.009,0.,0.,0.,0.,0.,0.,0.321,0.007,0.312,0.005,0.,0.005,0.,0.,0.,0.093,0.003,0.089,0.049,0.,0.049,0.009,0.,0.009,0.159,0.003,0.155,0.006,0.,0.006,0.318,0.007,0.309
32,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.05,0.,0.05,0.025,0.,0.025,0.,0.,0.,0.,0.,0.,0.343,0.,0.342,0.005,0.,0.005,0.,0.,0.,0.09,0.,0.09,0.068,0.,0.068,0.009,0.,0.009,0.166,0.,0.165,0.006,0.,0.006,0.34,0.,0.339
33,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.001,0.069,0.003,0.065,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,0.348,0.003,0.343,0.005,0.,0.005,0.,0.,0.,0.095,0.003,0.091,0.064,0.,0.064,0.01,0.,0.01,0.169,0.,0.168,0.006,0.,0.006,0.345,0.003,0.34
34,0.,0.,0.,0.021,0.,0.021,0.002,0.,0.002,0.069,0.,0.069,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,0.404,0.003,0.399,0.006,0.,0.006,0.,0.,0.,0.114,0.,0.113,0.064,0.,0.064,0.01,0.,0.01,0.204,0.003,0.2,0.007,0.,0.007,0.401,0.003,0.396
35,0.,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.074,0.,0.073,0.011,0.,0.01,0.,0.,0.,0.001,0.,0.,0.422,0.003,0.417,0.005,0.,0.005,0.,0.,0.,0.102,0.,0.102,0.078,0.003,0.073,0.018,0.,0.018,0.214,0.,0.213,0.014,0.,0.014,0.419,0.003,0.414
36,0.,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.071,0.,0.07,0.011,0.,0.011,0.,0.,0.,0.001,0.,0.001,0.431,0.,0.43,0.006,0.,0.006,0.,0.,0.,0.101,0.,0.101,0.088,0.,0.088,0.012,0.,0.012,0.212,0.,0.211,0.007,0.,0.007,0.422,0.,0.42
37,0.,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.073,0.,0.072,0.011,0.,0.011,0.,0.,0.,0.001,0.,0.001,0.458,0.,0.457,0.006,0.,0.006,0.,0.,0.,0.102,0.,0.102,0.093,0.,0.093,0.018,0.,0.018,0.233,0.,0.232,0.008,0.,0.008,0.455,0.,0.454
38,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.073,0.,0.073,0.011,0.,0.011,0.,0.,0.,0.001,0.,0.001,0.462,0.,0.46,0.006,0.,0.006,0.,0.,0.,0.11,0.,0.11,0.096,0.,0.096,0.012,0.,0.012,0.232,0.,0.231,0.008,0.,0.008,0.459,0.,0.457
39,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.077,0.,0.077,0.026,0.,0.026,0.,0.,0.,0.,0.,0.,0.499,0.,0.498,0.011,0.,0.011,0.,0.,0.,0.124,0.,0.123,0.091,0.,0.091,0.012,0.,0.012,0.255,0.,0.255,0.008,0.,0.008,0.495,0.,0.495
40,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.1,0.,0.1,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.54,0.,0.54,0.007,0.,0.007,0.,0.,0.,0.139,0.,0.139,0.103,0.,0.103,0.012,0.,0.012,0.273,0.,0.273,0.008,0.,0.008,0.537,0.,0.536
41,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.087,0.,0.087,0.012,0.,0.012,0.,0.,0.,0.001,0.,0.001,0.543,0.007,0.535,0.007,0.,0.007,0.,0.,0.,0.121,0.,0.121,0.114,0.007,0.106,0.018,0.,0.018,0.277,0.,0.277,0.014,0.,0.014,0.54,0.007,0.531
42,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.098,0.,0.098,0.012,0.,0.012,0.,0.,0.,0.001,0.,0.001,0.584,0.008,0.576,0.007,0.,0.007,0.,0.,0.,0.132,0.,0.132,0.114,0.,0.114,0.017,0.,0.017,0.308,0.008,0.299,0.013,0.,0.013,0.581,0.008,0.572
43,0.,0.,0.,0.006,0.,0.006,0.002,0.,0.002,0.121,0.,0.121,0.013,0.,0.013,0.,0.,0.,0.001,0.,0.001,0.659,0.,0.659,0.008,0.,0.008,0.,0.,0.,0.172,0.,0.172,0.137,0.,0.137,0.013,0.,0.013,0.323,0.,0.322,0.009,0.,0.009,0.656,0.,0.655
44,0.,0.,0.,0.006,0.,0.006,0.002,0.,0.002,0.116,0.,0.116,0.025,0.,0.025,0.,0.,0.,0.,0.,0.,0.662,0.,0.662,0.008,0.,0.008,0.,0.,0.,0.164,0.,0.164,0.134,0.,0.134,0.013,0.,0.013,0.336,0.,0.336,0.009,0.,0.009,0.659,0.,0.658
45,0.,0.,0.,0.019,0.,0.019,0.002,0.,0.002,0.124,0.,0.124,0.013,0.,0.013,0.,0.,0.,0.001,0.,0.001,0.721,0.,0.72,0.008,0.,0.008,0.,0.,0.,0.174,0.,0.174,0.142,0.,0.141,0.014,0.,0.014,0.377,0.,0.377,0.009,0.,0.009,0.717,0.,0.717
46,0.,0.,0.,0.008,0.,0.008,0.002,0.,0.002,0.143,0.,0.143,0.014,0.,0.014,0.,0.,0.,0.001,0.,0.001,0.771,0.,0.77,0.008,0.,0.008,0.,0.,0.,0.187,0.,0.187,0.16,0.,0.16,0.014,0.,0.014,0.396,0.,0.395,0.01,0.,0.01,0.767,0.,0.766
47,0.,0.,0.,0.021,0.,0.021,0.003,0.,0.003,0.117,0.,0.117,0.014,0.,0.014,0.,0.,0.,0.001,0.,0.001,0.744,0.,0.743,0.008,0.,0.008,0.,0.,0.,0.171,0.,0.17,0.151,0.,0.15,0.014,0.,0.014,0.393,0.,0.393,0.01,0.,0.01,0.74,0.,0.739
48,0.,0.,0.,0.008,0.,0.008,0.003,0.,0.003,0.136,0.,0.136,0.027,0.,0.027,0.,0.,0.,0.001,0.,0.001,0.795,0.,0.795,0.009,0.,0.009,0.,0.,0.,0.191,0.,0.191,0.161,0.,0.161,0.015,0.,0.015,0.413,0.,0.412,0.01,0.,0.01,0.791,0.,0.79
49,0.,0.,0.,0.008,0.,0.008,0.003,0.,0.003,0.136,0.,0.136,0.015,0.,0.015,0.,0.,0.,0.001,0.,0.001,0.823,0.,0.823,0.009,0.,0.009,0.,0.,0.,0.188,0.,0.188,0.172,0.,0.172,0.015,0.,0.015,0.433,0.,0.432,0.01,0.,0.01,0.819,0.,0.819
50,0.,0.,0.,0.009,0.,0.009,0.003,0.,0.003,0.182,0.,0.182,0.015,0.,0.015,0.,0.,0.,0.001,0.,0.001,0.911,0.,0.91,0.01,0.,0.01,0.,0.,0.,0.228,0.,0.228,0.19,0.,0.189,0.018,0.,0.018,0.46,0.,0.459,0.013,0.,0.013,0.907,0.,0.906
51,0.,0.,0.,0.009,0.,0.009,0.003,0.,0.003,0.162,0.,0.162,0.015,0.,0.015,0.,0.,0.,0.001,0.,0.001,0.915,0.,0.914,0.01,0.,0.01,0.,0.,0.,0.213,0.,0.213,0.191,0.,0.19,0.016,0.,0.016,0.479,0.,0.478,0.011,0.,0.011,0.911,0.,0.91
52,0.,0.,0.,0.021,0.,0.021,0.003,0.,0.003,0.185,0.,0.185,0.016,0.,0.016,0.,0.,0.,0.001,0.,0.001,1.028,0.,1.026,0.019,0.,0.019,0.,0.,0.,0.264,0.,0.264,0.21,0.,0.209,0.017,0.,0.016,0.511,0.,0.511,0.011,0.,0.011,1.023,0.,1.022
53,0.,0.,0.,0.01,0.,0.01,0.003,0.,0.003,0.223,0.,0.223,0.029,0.,0.029,0.,0.,0.,0.001,0.,0.001,1.088,0.,1.086,0.01,0.,0.01,0.,0.,0.,0.285,0.,0.284,0.228,0.,0.228,0.016,0.,0.016,0.541,0.,0.54,0.011,0.,0.011,1.083,0.,1.082
54,0.,0.,0.,0.01,0.,0.01,0.003,0.,0.003,0.228,0.003,0.224,0.016,0.,0.016,0.,0.,0.,0.001,0.,0.001,1.124,0.003,1.118,0.011,0.,0.011,0.,0.,0.,0.282,0.003,0.277,0.247,0.,0.247,0.017,0.,0.017,0.56,0.,0.559,0.012,0.,0.012,1.119,0.003,1.114
55,0.,0.,0.,0.025,0.,0.025,0.003,0.,0.003,0.209,0.,0.209,0.016,0.,0.016,0.,0.,0.,0.001,0.,0.001,1.158,0.007,1.149,0.011,0.,0.011,0.,0.,0.,0.284,0.,0.284,0.246,0.,0.246,0.017,0.,0.017,0.593,0.007,0.584,0.012,0.,0.012,1.154,0.007,1.145
56,0.,0.,0.,0.012,0.,0.012,0.003,0.,0.003,0.2,0.,0.2,0.031,0.,0.031,0.,0.,0.,0.001,0.,0.001,1.186,0.,1.185,0.011,0.,0.011,0.,0.,0.,0.282,0.,0.282,0.246,0.,0.246,0.018,0.,0.018,0.621,0.,0.62,0.013,0.,0.013,1.181,0.,1.18
57,0.,0.,0.,0.012,0.,0.012,0.003,0.,0.003,0.229,0.,0.229,0.027,0.,0.027,0.,0.,0.,0.001,0.,0.001,1.232,0.,1.231,0.02,0.,0.019,0.,0.,0.,0.298,0.,0.298,0.249,0.,0.249,0.018,0.,0.018,0.64,0.,0.639,0.013,0.,0.013,1.228,0.,1.226
58,0.,0.,0.,0.017,0.,0.017,0.003,0.,0.003,0.231,0.,0.231,0.017,0.,0.017,0.,0.,0.,0.001,0.,0.001,1.26,0.,1.259,0.012,0.,0.012,0.,0.,0.,0.292,0.,0.291,0.265,0.,0.264,0.019,0.,0.019,0.666,0.,0.665,0.014,0.,0.014,1.255,0.,1.254
59,0.,0.,0.,0.018,0.,0.018,0.003,0.,0.003,0.246,0.,0.246,0.017,0.,0.017,0.,0.,0.,0.001,0.,0.001,1.323,0.,1.322,0.012,0.,0.012,0.,0.,0.,0.307,0.,0.307,0.277,0.,0.277,0.019,0.,0.019,0.7,0.,0.7,0.013,0.,0.013,1.318,0.,1.317
60,0.,0.,0.,0.014,0.,0.014,0.003,0.,0.003,0.057,0.,0.057,0.038,0.,0.038,0.,0.,0.,0.001,0.,0.001,0.488,0.008,0.48,0.029,0.,0.029,0.,0.,0.,0.158,0.,0.158,0.056,0.,0.056,0.019,0.,0.019,0.219,0.007,0.211,0.014,0.,0.014,0.483,0.008,0.475
61,0.,0.,0.,0.039,0.,0.039,0.003,0.,0.003,0.082,0.,0.081,0.018,0.,0.018,0.,0.,0.,0.001,0.,0.001,0.464,0.003,0.46,0.03,0.,0.03,0.,0.,0.,0.164,0.,0.164,0.063,0.,0.063,0.02,0.,0.02,0.18,0.003,0.176,0.014,0.,0.014,0.459,0.003,0.455
62,0.,0.,0.,0.017,0.,0.017,0.004,0.,0.004,0.09,0.,0.09,0.018,0.,0.018,0.,0.,0.,0.001,0.,0.001,0.479,0.,0.479,0.011,0.,0.011,0.,0.,0.,0.152,0.,0.152,0.087,0.,0.087,0.021,0.,0.021,0.2,0.,0.2,0.014,0.,0.014,0.474,0.,0.474
63,0.,0.,0.,0.016,0.,0.016,0.003,0.,0.003,0.091,0.,0.091,0.026,0.,0.026,0.,0.,0.,0.001,0.,0.001,0.52,0.,0.517,0.012,0.,0.012,0.,0.,0.,0.16,0.,0.16,0.089,0.,0.086,0.02,0.,0.02,0.232,0.,0.232,0.014,0.,0.014,0.515,0.,0.511
64,0.,0.,0.,0.016,0.,0.016,0.004,0.,0.004,0.098,0.,0.097,0.027,0.,0.027,0.,0.,0.,0.001,0.,0.001,0.55,0.,0.548,0.012,0.,0.012,0.,0.,0.,0.174,0.,0.174,0.091,0.,0.09,0.021,0.,0.021,0.244,0.,0.243,0.015,0.,0.015,0.545,0.,0.543
65,0.,0.,0.,0.033,0.,0.033,0.004,0.,0.004,0.112,0.,0.112,0.019,0.,0.019,0.,0.,0.,0.001,0.,0.001,0.6,0.,0.598,0.012,0.,0.012,0.,0.,0.,0.193,0.,0.193,0.101,0.,0.101,0.021,0.,0.021,0.264,0.,0.263,0.015,0.,0.015,0.595,0.,0.593
66,0.,0.,0.,0.037,0.,0.037,0.004,0.,0.004,0.114,0.,0.114,0.02,0.,0.02,0.,0.,0.,0.001,0.,0.001,0.709,0.003,0.702,0.028,0.,0.028,0.,0.,0.,0.227,0.,0.226,0.109,0.,0.109,0.022,0.,0.022,0.313,0.003,0.309,0.016,0.,0.016,0.703,0.003,0.696
67,0.,0.,0.,0.019,0.,0.019,0.004,0.,0.004,0.117,0.,0.117,0.037,0.,0.037,0.,0.,0.,0.001,0.,0.001,0.731,0.003,0.725,0.013,0.,0.013,0.,0.,0.,0.217,0.,0.216,0.13,0.,0.129,0.022,0.,0.022,0.342,0.003,0.337,0.016,0.,0.016,0.726,0.003,0.72
68,0.,0.,0.,0.025,0.,0.025,0.004,0.,0.004,0.113,0.,0.112,0.037,0.,0.036,0.,0.,0.,0.001,0.,0.001,0.738,0.003,0.732,0.013,0.,0.013,0.,0.,0.,0.204,0.,0.203,0.137,0.,0.137,0.022,0.,0.022,0.354,0.003,0.349,0.016,0.,0.016,0.733,0.003,0.726
69,0.,0.,0.,0.026,0.,0.026,0.004,0.,0.004,0.135,0.,0.135,0.02,0.,0.02,0.,0.,0.,0.001,0.,0.001,0.793,0.007,0.782,0.014,0.,0.014,0.,0.,0.,0.213,0.,0.213,0.151,0.003,0.146,0.022,0.,0.022,0.384,0.003,0.378,0.016,0.,0.016,0.787,0.007,0.776
70,0.,0.,0.,0.021,0.,0.021,0.004,0.,0.004,0.135,0.,0.135,0.028,0.,0.028,0.,0.,0.,0.001,0.,0.001,0.838,0.,0.836,0.02,0.,0.02,0.,0.,0.,0.215,0.,0.215,0.159,0.,0.158,0.023,0.,0.023,0.413,0.,0.412,0.017,0.,0.016,0.832,0.,0.83
71,0.,0.,0.,0.039,0.,0.039,0.004,0.,0.004,0.147,0.,0.147,0.033,0.,0.033,0.,0.,0.,0.001,0.,0.001,0.918,0.,0.917,0.014,0.,0.014,0.,0.,0.,0.251,0.,0.25,0.181,0.,0.181,0.023,0.,0.023,0.441,0.,0.44,0.017,0.,0.017,0.913,0.,0.912
72,0.,0.,0.,0.035,0.,0.035,0.004,0.,0.004,0.164,0.,0.164,0.021,0.,0.021,0.,0.,0.,0.001,0.,0.001,1.026,0.,1.025,0.015,0.,0.015,0.,0.,0.,0.276,0.,0.275,0.199,0.,0.198,0.024,0.,0.024,0.505,0.,0.505,0.017,0.,0.017,1.021,0.,1.019
73,0.,0.,0.,0.024,0.,0.023,0.004,0.,0.004,0.197,0.,0.197,0.038,0.,0.038,0.,0.,0.,0.001,0.,0.001,1.097,0.,1.095,0.016,0.,0.016,0.,0.,0.,0.297,0.,0.296,0.224,0.,0.224,0.024,0.,0.024,0.527,0.,0.527,0.018,0.,0.018,1.091,0.,1.089
74,0.,0.,0.,0.03,0.,0.03,0.004,0.,0.004,0.21,0.,0.209,0.037,0.,0.037,0.,0.,0.,0.001,0.,0.001,1.148,0.007,1.139,0.029,0.,0.029,0.,0.,0.,0.31,0.,0.31,0.221,0.003,0.217,0.026,0.,0.026,0.554,0.003,0.549,0.019,0.,0.019,1.142,0.007,1.133
75,0.,0.,0.,0.03,0.,0.03,0.004,0.,0.004,0.177,0.003,0.173,0.022,0.,0.022,0.,0.,0.,0.001,0.,0.001,1.135,0.003,1.13,0.016,0.,0.016,0.,0.,0.,0.263,0.003,0.259,0.233,0.,0.233,0.026,0.,0.026,0.589,0.,0.589,0.019,0.,0.019,1.129,0.003,1.124
