param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user check-real check-sys check-user refine-real refine-sys refine-user type-real type-sys type-user
5400 0.136 0. 0.136 8.016 0. 8.016 3.479 0. 3.479 4.387 0. 4.387 4.4 0. 4.4
5500 0.136 0. 0.136 7.799 0. 7.799 3.097 0. 3.097 4.593 0. 4.593 4.565 0. 4.565
5600 0.135 0. 0.135 8.496 0. 8.496 3.632 0. 3.632 4.725 0. 4.725 4.728 0. 4.728
5700 0.129 0.004 0.125 9.56 0.004 9.556 4.498 0. 4.498 3.6 0. 3.6 4.931 0. 4.931
5800 0.137 0.003 0.133 10.266 0.003 10.262 5.061 0. 5.061 3.878 0.004 3.872 5.066 0. 5.066
5900 0.136 0.007 0.128 8.551 0.011 8.533 5.285 0. 5.281 5.243 0. 5.239 3.129 0.003 3.123
6000 0.145 0. 0.145 9.99 0. 9.978 4.393 0. 4.389 3.79 0.003 3.779 5.451 0. 5.442
6100 0.152 0. 0.152 10.123 0.004 10.112 5.622 0.004 5.614 5.66 0. 5.656 4.348 0. 4.345
6200 0.145 0. 0.144 9.456 0. 9.449 3.461 0. 3.458 5.848 0. 5.844 5.849 0. 5.845
6300 0.145 0. 0.144 10.938 0.004 10.926 5.994 0.004 5.986 5.982 0. 5.978 4.798 0. 4.795
6400 0.143 0. 0.142 10.673 0. 10.657 4.274 0. 4.271 4.161 0. 4.158 6.255 0. 6.242
6500 0.149 0.003 0.145 12.235 0.003 12.222 6.374 0. 6.369 6.428 0. 6.423 5.711 0. 5.707
6600 0.166 0.003 0.162 10.757 0.003 10.745 3.959 0. 3.956 6.454 0.004 6.445 6.631 0. 6.626
6700 0.166 0. 0.165 13.78 0. 13.77 6.832 0. 6.828 6.808 0.028 6.767 6.78 0. 6.776
6800 0.165 0.007 0.157 12.541 0.011 12.52 6.974 0.004 6.965 7.037 0. 7.032 5.401 0. 5.397
6900 0.161 0. 0.161 12.477 0. 12.468 7.241 0. 7.236 7.247 0.003 7.238 5.074 0. 5.07
7000 0.161 0. 0.161 13.211 0. 13.202 7.458 0. 7.452 7.475 0. 7.462 5.592 0. 5.588
7100 0.163 0. 0.162 15.244 0.003 15.229 7.68 0.003 7.67 7.618 0. 7.613 7.401 0. 7.395
7200 0.174 0.003 0.169 13.964 0.008 13.946 7.821 0.004 7.812 7.824 0. 7.819 5.968 0. 5.964
7300 0.182 0. 0.182 14.677 0. 14.659 8.049 0. 8.044 8.054 0. 8.048 6.445 0. 6.432
7400 0.182 0. 0.182 13.503 0.04 13.453 4.982 0. 4.978 4.965 0. 4.961 8.337 0.04 8.291
