param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user check-real check-sys check-user refine-real refine-sys refine-user type-real type-sys type-user
540 0.018 0. 0.018 2.462 0. 2.462 1.217 0. 1.217 1.202 0. 1.202 1.225 0. 1.225
550 0.019 0. 0.019 2.486 0. 2.486 1.236 0. 1.236 1.232 0. 1.232 1.23 0. 1.23
560 0.019 0. 0.019 2.629 0. 2.629 1.291 0. 1.291 1.296 0. 1.296 1.318 0. 1.318
570 0.023 0. 0.023 2.66 0. 2.66 1.318 0. 1.318 1.323 0. 1.323 1.318 0. 1.318
580 0.023 0. 0.023 2.822 0. 2.821 1.403 0. 1.403 1.377 0. 1.377 1.394 0. 1.394
590 0.02 0. 0.02 2.879 0. 2.879 1.432 0. 1.432 1.46 0. 1.46 1.425 0. 1.425
600 0.024 0. 0.024 2.992 0. 2.992 1.493 0. 1.493 1.47 0. 1.47 1.473 0. 1.473
610 0.024 0. 0.024 3.089 0. 3.089 1.519 0. 1.519 1.553 0. 1.552 1.544 0. 1.544
620 0.021 0. 0.021 3.193 0. 3.193 1.585 0. 1.585 1.58 0. 1.58 1.586 0. 1.586
630 0.023 0. 0.023 3.342 0. 3.342 1.678 0. 1.678 1.635 0. 1.635 1.641 0. 1.641
640 0.025 0. 0.025 3.386 0. 3.386 1.67 0. 1.67 1.711 0. 1.711 1.689 0. 1.689
650 0.024 0. 0.024 3.495 0. 3.495 1.727 0. 1.727 1.746 0. 1.746 1.743 0. 1.743
660 0.028 0. 0.028 3.658 0. 3.658 1.826 0. 1.826 1.791 0. 1.791 1.804 0. 1.804
670 0.026 0. 0.026 3.732 0. 3.732 1.828 0. 1.828 1.857 0. 1.857 1.877 0. 1.877
680 0.025 0. 0.025 3.81 0. 3.81 1.888 0. 1.887 1.949 0. 1.949 1.897 0. 1.897
690 0.023 0. 0.023 3.968 0. 3.968 1.975 0. 1.975 1.98 0. 1.98 1.969 0. 1.969
700 0.024 0. 0.024 4.085 0.003 4.081 2.053 0. 2.053 2.019 0.004 2.015 2.006 0.003 2.002
710 0.026 0. 0.026 4.225 0. 4.225 2.098 0. 2.098 2.073 0. 2.073 2.101 0. 2.101
720 0.027 0. 0.027 4.288 0. 4.288 2.109 0. 2.109 2.146 0. 2.145 2.15 0. 2.15
730 0.025 0. 0.025 4.402 0. 4.402 2.182 0. 2.182 2.253 0. 2.253 2.194 0. 2.194
740 0.028 0. 0.028 4.511 0. 4.511 2.248 0. 2.247 2.267 0. 2.266 2.234 0. 2.234
800 0.09 0.004 0.085 5.375 0.024 5.348 2.684 0.016 2.665 2.689 0.008 2.681 2.6 0.003 2.596
900 0.033 0. 0.033 6.764 0.008 6.734 3.366 0.003 3.345 3.321 0.007 3.313 3.365 0.004 3.355
1000 0.037 0. 0.037 8.282 0. 8.281 4.146 0. 4.146 4.174 0. 4.174 4.097 0. 4.097
1100 0.038 0. 0.038 9.99 0. 9.989 4.957 0. 4.957 4.996 0. 4.996 4.993 0. 4.992
1200 0.043 0. 0.043 11.884 0.004 11.88 5.902 0.004 5.898 5.971 0. 5.971 5.938 0. 5.938
1300 0.048 0. 0.048 13.907 0. 13.906 6.926 0. 6.926 6.991 0. 6.991 6.931 0. 6.931
1400 0.05 0. 0.05 16.383 0. 16.383 8.244 0. 8.244 8.101 0. 8.101 8.088 0. 8.088
1500 0.054 0. 0.054 18.772 0.011 18.76 9.47 0.011 9.458 9.283 0.011 9.271 9.246 0. 9.246
1600 0.059 0. 0.059 21.298 0. 21.296 10.71 0. 10.71 10.55 0. 10.55 10.528 0. 10.527
1700 0.063 0. 0.063 23.678 0. 23.678 11.833 0. 11.833 11.816 0.023 11.792 11.781 0. 11.781
1800 0.064 0. 0.064 26.388 0.019 26.365 13.211 0.007 13.201 13.197 0.039 13.153 13.112 0.011 13.099
1900 0.068 0. 0.068 29.554 0.004 29.548 14.587 0. 14.587 14.592 0.008 14.583 14.898 0.003 14.891
2000 0.071 0. 0.071 32.717 0.003 32.713 16.163 0. 16.163 16.211 0.011 16.199 16.481 0.003 16.477
