param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,check-real,check-sys,check-user,refine-real,refine-sys,refine-user,type-real,type-sys,type-user
9100,0.22,0.,0.22,7.601,0.,7.601,4.173,0.,4.173,4.073,0.,4.073,3.207,0.,3.207
9200,0.22,0.,0.22,5.942,0.,5.942,1.721,0.,1.721,1.399,0.,1.399,3.999,0.,3.999
9300,0.227,0.007,0.219,8.828,0.007,8.82,4.343,0.,4.343,3.199,0.,3.199,4.257,0.,4.257
9400,0.223,0.003,0.219,6.83,0.003,6.826,4.323,0.,4.323,4.339,0.,4.339,2.284,0.,2.284
9500,0.221,0.,0.221,6.726,0.,6.726,2.222,0.,2.222,1.926,0.,1.926,4.281,0.,4.281
9600,0.231,0.,0.231,6.339,0.,6.339,4.246,0.,4.246,3.68,0.,3.68,1.86,0.,1.86
9700,0.255,0.,0.255,7.111,0.,7.111,4.282,0.,4.282,4.487,0.,4.487,2.573,0.,2.573
9800,0.237,0.,0.237,8.164,0.,8.164,3.302,0.,3.302,3.194,0.,3.194,4.624,0.,4.624
9900,0.236,0.,0.236,6.702,0.,6.702,1.636,0.,1.636,1.603,0.,1.603,4.829,0.,4.829
10000,0.23,0.,0.23,7.632,0.,7.632,4.311,0.,4.311,4.587,0.,4.587,3.09,0.,3.09
10100,0.238,0.,0.238,7.155,0.,7.155,4.998,0.,4.998,5.012,0.,5.012,1.917,0.,1.917
10200,0.24,0.,0.24,6.109,0.,6.109,4.145,0.,4.145,5.122,0.,5.122,1.724,0.,1.724
10300,0.242,0.,0.242,6.142,0.,6.142,4.205,0.,4.205,5.324,0.,5.324,1.694,0.,1.694
10400,0.244,0.,0.244,7.367,0.,7.367,5.33,0.,5.33,4.336,0.,4.336,1.792,0.,1.792
10500,0.248,0.,0.248,7.689,0.,7.689,1.996,0.,1.996,2.269,0.,2.269,5.445,0.,5.445
10600,0.257,0.,0.257,8.742,0.,8.742,3.638,0.,3.638,4.551,0.,4.551,4.846,0.,4.846
10700,0.259,0.,0.259,6.544,0.,6.544,4.358,0.,4.358,4.488,0.,4.488,1.926,0.,1.926
10800,0.26,0.,0.26,9.981,0.,9.981,4.925,0.,4.925,4.476,0.,4.476,4.795,0.,4.795
10900,0.253,0.,0.253,7.971,0.,7.971,2.734,0.,2.734,3.749,0.,3.749,4.983,0.,4.983
11000,0.249,0.,0.249,7.835,0.004,7.831,4.899,0.003,4.895,5.06,0.,5.06,2.686,0.,2.686
11100,0.256,0.,0.256,8.489,0.,8.489,2.238,0.,2.238,3.247,0.,3.247,5.995,0.,5.995
11200,0.255,0.,0.255,8.538,0.,8.539,5.269,0.,5.269,5.441,0.,5.441,3.014,0.,3.014
11300,0.263,0.,0.263,10.372,0.,10.372,5.513,0.,5.513,2.017,0.,2.017,4.596,0.,4.596
11400,0.275,0.,0.275,8.928,0.,8.928,6.366,0.,6.366,6.316,0.,6.316,2.285,0.,2.285
11500,0.272,0.,0.272,8.876,0.,8.876,3.609,0.,3.609,6.518,0.,6.518,4.994,0.,4.994
11600,0.256,0.,0.256,8.513,0.,8.513,2.536,0.,2.536,3.758,0.,3.758,5.721,0.,5.721
11700,0.269,0.,0.269,7.997,0.,7.997,2.28,0.,2.28,3.222,0.,3.222,5.447,0.,5.447
11800,0.265,0.,0.265,7.991,0.,7.991,2.255,0.,2.255,3.591,0.,3.591,5.469,0.,5.469
11900,0.273,0.,0.273,9.317,0.,9.317,2.46,0.,2.46,4.283,0.,4.283,6.583,0.,6.583
