param-n,build-and-open-real,build-and-open-sys,build-and-open-user,open-constr-real,open-constr-sys,open-constr-user,uconstr-real,uconstr-sys,uconstr-user
248,0.052,0.,0.052,0.012,0.,0.012,0.039,0.,0.039
249,0.058,0.,0.058,0.012,0.,0.012,0.045,0.,0.045
250,0.061,0.,0.061,0.024,0.,0.024,0.036,0.,0.036
251,0.05,0.,0.05,0.013,0.,0.013,0.037,0.,0.037
252,0.053,0.,0.053,0.013,0.,0.013,0.04,0.,0.04
253,0.054,0.,0.054,0.013,0.,0.013,0.041,0.,0.041
254,0.057,0.,0.057,0.013,0.,0.013,0.044,0.,0.044
255,0.059,0.,0.059,0.019,0.,0.019,0.039,0.,0.039
256,0.052,0.,0.052,0.013,0.,0.013,0.038,0.,0.038
257,0.055,0.,0.055,0.013,0.,0.013,0.041,0.,0.041
258,0.053,0.003,0.05,0.013,0.,0.013,0.039,0.003,0.036
259,0.058,0.,0.058,0.013,0.,0.013,0.044,0.,0.044
260,0.06,0.,0.06,0.013,0.,0.013,0.046,0.,0.046
261,0.063,0.,0.063,0.023,0.,0.023,0.039,0.,0.039
262,0.057,0.,0.057,0.017,0.,0.017,0.039,0.,0.039
263,0.054,0.,0.054,0.014,0.,0.014,0.04,0.,0.04
264,0.056,0.,0.056,0.014,0.,0.014,0.041,0.,0.041
265,0.056,0.,0.056,0.014,0.,0.014,0.041,0.,0.041
266,0.063,0.004,0.059,0.014,0.,0.014,0.048,0.004,0.044
267,0.057,0.,0.057,0.014,0.,0.014,0.043,0.,0.043
268,0.064,0.,0.064,0.014,0.,0.014,0.049,0.,0.049
269,0.06,0.,0.06,0.02,0.,0.02,0.04,0.,0.04
270,0.075,0.003,0.071,0.033,0.003,0.029,0.042,0.,0.042
271,0.056,0.,0.056,0.014,0.,0.014,0.041,0.,0.041
272,0.056,0.,0.056,0.015,0.,0.015,0.041,0.,0.041
273,0.06,0.,0.06,0.015,0.,0.015,0.045,0.,0.045
274,0.058,0.,0.058,0.015,0.,0.015,0.043,0.,0.043
275,0.063,0.,0.063,0.015,0.,0.015,0.047,0.,0.047
276,0.062,0.,0.062,0.015,0.,0.015,0.046,0.,0.046
277,0.065,0.,0.065,0.015,0.,0.015,0.049,0.,0.049
278,0.065,0.,0.065,0.015,0.,0.015,0.049,0.,0.049
279,0.068,0.003,0.065,0.016,0.,0.016,0.052,0.003,0.048
280,0.066,0.,0.066,0.016,0.,0.016,0.049,0.,0.049
281,0.07,0.,0.07,0.016,0.,0.016,0.053,0.,0.053
282,0.066,0.,0.066,0.016,0.,0.016,0.05,0.,0.05
283,0.073,0.,0.073,0.026,0.,0.026,0.046,0.,0.046
284,0.068,0.,0.068,0.023,0.,0.023,0.045,0.,0.045
285,0.077,0.003,0.073,0.03,0.003,0.026,0.046,0.,0.046
286,0.074,0.,0.074,0.026,0.,0.026,0.047,0.,0.047
287,0.079,0.,0.079,0.032,0.,0.032,0.046,0.,0.046
288,0.083,0.,0.083,0.037,0.,0.037,0.046,0.,0.046
289,0.097,0.,0.097,0.049,0.,0.049,0.047,0.,0.047
290,0.081,0.,0.081,0.03,0.,0.03,0.05,0.,0.05
291,0.095,0.,0.095,0.048,0.,0.048,0.047,0.,0.047
292,0.078,0.,0.078,0.03,0.,0.03,0.048,0.,0.048
293,0.096,0.,0.096,0.047,0.,0.047,0.048,0.,0.048
294,0.076,0.,0.076,0.028,0.,0.028,0.047,0.,0.047
295,0.084,0.,0.084,0.033,0.,0.033,0.05,0.,0.05
296,0.074,0.,0.074,0.025,0.,0.025,0.048,0.,0.048
297,0.077,0.,0.077,0.018,0.,0.018,0.059,0.,0.059
298,0.075,0.,0.075,0.018,0.,0.018,0.057,0.,0.057
299,0.07,0.,0.07,0.018,0.,0.018,0.052,0.,0.052
300,0.076,0.,0.076,0.018,0.,0.018,0.057,0.,0.057
301,0.074,0.,0.074,0.018,0.,0.018,0.056,0.,0.056
302,0.074,0.,0.074,0.018,0.,0.018,0.055,0.,0.055
303,0.074,0.,0.074,0.019,0.,0.019,0.055,0.,0.055
304,0.075,0.,0.075,0.019,0.,0.019,0.055,0.,0.055
305,0.075,0.,0.075,0.019,0.,0.019,0.056,0.,0.056
306,0.074,0.,0.074,0.019,0.,0.019,0.054,0.,0.054
307,0.093,0.,0.093,0.039,0.,0.039,0.054,0.,0.054
308,0.088,0.,0.088,0.036,0.,0.036,0.051,0.,0.051
309,0.083,0.,0.083,0.031,0.,0.031,0.051,0.,0.051
310,0.083,0.,0.083,0.019,0.,0.019,0.063,0.,0.063
311,0.08,0.,0.08,0.02,0.,0.02,0.059,0.,0.059
312,0.079,0.,0.079,0.02,0.,0.02,0.059,0.,0.059
313,0.077,0.,0.077,0.02,0.,0.02,0.057,0.,0.057
314,0.08,0.,0.08,0.02,0.,0.02,0.059,0.,0.059
315,0.077,0.,0.077,0.02,0.,0.02,0.056,0.,0.056
316,0.097,0.,0.097,0.038,0.,0.038,0.059,0.,0.059
317,0.09,0.,0.09,0.036,0.,0.036,0.054,0.,0.054
318,0.083,0.,0.083,0.021,0.,0.02,0.062,0.,0.062
319,0.084,0.,0.084,0.021,0.,0.021,0.062,0.,0.062
320,0.094,0.,0.094,0.021,0.,0.021,0.072,0.,0.072
321,0.081,0.,0.081,0.021,0.,0.021,0.059,0.,0.059
322,0.105,0.,0.105,0.04,0.,0.04,0.064,0.,0.064
323,0.12,0.,0.12,0.062,0.,0.062,0.057,0.,0.057
324,0.085,0.,0.085,0.021,0.,0.021,0.063,0.,0.063
325,0.097,0.,0.097,0.022,0.,0.022,0.075,0.,0.075
326,0.083,0.,0.083,0.022,0.,0.022,0.061,0.,0.061
327,0.109,0.,0.109,0.042,0.,0.042,0.066,0.,0.066
328,0.106,0.,0.106,0.047,0.,0.047,0.058,0.,0.058
329,0.088,0.,0.088,0.022,0.,0.022,0.066,0.,0.066
330,0.083,0.,0.083,0.022,0.,0.022,0.06,0.,0.06
331,0.088,0.,0.088,0.025,0.,0.025,0.063,0.,0.063
332,0.101,0.007,0.093,0.039,0.007,0.031,0.062,0.,0.062
333,0.087,0.,0.087,0.022,0.,0.022,0.064,0.,0.064
334,0.092,0.,0.092,0.023,0.,0.023,0.069,0.,0.069
335,0.121,0.003,0.117,0.055,0.003,0.051,0.065,0.,0.065
336,0.106,0.,0.106,0.044,0.,0.044,0.061,0.,0.061
337,0.093,0.,0.093,0.023,0.,0.023,0.069,0.,0.069
338,0.093,0.,0.093,0.023,0.,0.023,0.069,0.,0.069
339,0.091,0.003,0.087,0.026,0.,0.026,0.065,0.003,0.061
340,0.093,0.,0.093,0.024,0.,0.024,0.069,0.,0.069
341,0.095,0.,0.095,0.024,0.,0.024,0.071,0.,0.071
342,0.09,0.,0.09,0.024,0.,0.024,0.065,0.,0.065
343,0.098,0.,0.098,0.036,0.,0.036,0.062,0.,0.062
344,0.098,0.,0.098,0.024,0.,0.024,0.073,0.,0.073
345,0.094,0.,0.094,0.025,0.,0.025,0.069,0.,0.069
346,0.107,0.,0.107,0.039,0.,0.039,0.067,0.,0.067
347,0.107,0.,0.107,0.025,0.,0.025,0.081,0.,0.081
348,0.112,0.,0.112,0.025,0.,0.025,0.086,0.,0.086
349,0.095,0.,0.095,0.027,0.,0.027,0.068,0.,0.068
350,0.098,0.,0.098,0.025,0.,0.025,0.072,0.,0.072
351,0.111,0.,0.111,0.026,0.,0.026,0.085,0.,0.085
352,0.095,0.,0.095,0.026,0.,0.026,0.069,0.,0.069
353,0.103,0.,0.103,0.026,0.,0.026,0.076,0.,0.076
354,0.135,0.,0.135,0.051,0.,0.051,0.083,0.,0.083
355,0.139,0.,0.139,0.026,0.,0.026,0.112,0.,0.112
356,0.102,0.,0.102,0.026,0.,0.026,0.076,0.,0.076
357,0.12,0.,0.12,0.042,0.,0.042,0.078,0.,0.078
358,0.099,0.,0.099,0.027,0.,0.027,0.072,0.,0.072
359,0.099,0.,0.099,0.027,0.,0.027,0.072,0.,0.072
360,0.103,0.,0.103,0.027,0.,0.027,0.076,0.,0.076
361,0.103,0.,0.103,0.027,0.,0.027,0.075,0.,0.075
362,0.099,0.,0.099,0.028,0.,0.028,0.07,0.,0.07
363,0.103,0.,0.103,0.027,0.,0.027,0.075,0.,0.075
364,0.127,0.,0.127,0.05,0.,0.05,0.077,0.,0.077
365,0.115,0.,0.115,0.028,0.,0.028,0.087,0.,0.087
366,0.105,0.,0.105,0.032,0.,0.032,0.073,0.,0.073
367,0.108,0.,0.108,0.028,0.,0.028,0.08,0.,0.08
368,0.134,0.,0.134,0.056,0.,0.056,0.078,0.,0.078
