param-n,repeat-constructor-real,repeat-constructor-sys,repeat-constructor-user
82,0.012,0.,0.012
83,0.015,0.,0.015
84,0.012,0.,0.012
85,0.013,0.,0.013
86,0.013,0.,0.013
87,0.013,0.,0.013
88,0.014,0.,0.014
89,0.014,0.,0.013
90,0.014,0.,0.014
91,0.017,0.,0.017
92,0.014,0.,0.014
93,0.015,0.,0.015
94,0.019,0.,0.019
95,0.015,0.,0.015
96,0.018,0.,0.018
97,0.016,0.,0.016
98,0.016,0.,0.016
99,0.016,0.,0.016
100,0.017,0.,0.017
101,0.016,0.,0.016
102,0.03,0.,0.03
103,0.017,0.,0.017
104,0.033,0.,0.033
105,0.017,0.,0.017
106,0.021,0.003,0.017
107,0.018,0.,0.018
108,0.023,0.,0.023
109,0.019,0.,0.019
110,0.022,0.,0.022
111,0.019,0.,0.019
112,0.025,0.,0.024
113,0.02,0.,0.02
114,0.022,0.,0.022
115,0.02,0.,0.02
116,0.023,0.,0.023
117,0.025,0.,0.025
118,0.022,0.,0.022
119,0.027,0.,0.027
120,0.022,0.,0.022
121,0.024,0.,0.024
122,0.023,0.,0.023
123,0.024,0.,0.024
124,0.025,0.,0.025
125,0.026,0.,0.026
126,0.024,0.,0.024
127,0.026,0.,0.026
128,0.027,0.,0.027
129,0.025,0.,0.025
130,0.027,0.,0.027
131,0.027,0.,0.027
132,0.032,0.003,0.028
133,0.027,0.,0.027
134,0.035,0.,0.035
135,0.031,0.,0.031
136,0.033,0.,0.033
137,0.028,0.,0.028
138,0.03,0.,0.03
139,0.031,0.,0.031
140,0.034,0.003,0.03
141,0.036,0.,0.036
142,0.031,0.,0.031
143,0.032,0.,0.032
144,0.033,0.,0.033
145,0.035,0.003,0.031
146,0.037,0.,0.037
147,0.037,0.,0.037
148,0.04,0.,0.04
149,0.033,0.,0.033
150,0.034,0.,0.034
151,0.034,0.,0.034
152,0.036,0.,0.036
153,0.037,0.,0.037
154,0.038,0.,0.038
155,0.039,0.,0.039
156,0.039,0.,0.039
157,0.041,0.,0.041
158,0.04,0.,0.04
159,0.041,0.,0.041
160,0.04,0.,0.04
161,0.042,0.,0.042
162,0.041,0.,0.041
163,0.041,0.,0.041
164,0.04,0.,0.04
165,0.041,0.,0.041
166,0.041,0.,0.041
167,0.047,0.,0.047
168,0.047,0.,0.047
169,0.047,0.,0.047
170,0.047,0.,0.047
171,0.045,0.,0.045
172,0.044,0.,0.044
173,0.045,0.,0.045
174,0.052,0.,0.052
175,0.047,0.,0.047
176,0.05,0.,0.05
177,0.047,0.,0.047
178,0.046,0.,0.046
179,0.052,0.,0.052
180,0.05,0.,0.05
181,0.05,0.002,0.047
182,0.055,0.,0.055
183,0.052,0.,0.052
184,0.052,0.,0.052
185,0.058,0.,0.058
186,0.053,0.,0.053
187,0.054,0.,0.054
188,0.057,0.,0.057
189,0.056,0.,0.056
190,0.055,0.,0.055
191,0.058,0.,0.058
192,0.067,0.002,0.064
193,0.059,0.,0.059
194,0.059,0.,0.059
195,0.064,0.,0.064
196,0.059,0.,0.059
197,0.064,0.003,0.06
198,0.067,0.,0.067
199,0.058,0.,0.058
200,0.062,0.,0.062
201,0.065,0.,0.065
202,0.082,0.,0.082
203,0.074,0.,0.074
204,0.064,0.,0.064
205,0.066,0.,0.066
206,0.076,0.003,0.072
207,0.083,0.,0.083
208,0.078,0.,0.078
209,0.065,0.,0.065
210,0.07,0.,0.07
211,0.068,0.,0.068
212,0.081,0.,0.081
213,0.08,0.,0.08
214,0.086,0.003,0.082
215,0.066,0.,0.066
216,0.066,0.,0.066
217,0.07,0.003,0.066
218,0.072,0.,0.072
219,0.076,0.,0.076
220,0.074,0.,0.074
221,0.079,0.,0.079
222,0.083,0.,0.083
223,0.084,0.003,0.08
224,0.085,0.,0.085
225,0.085,0.,0.085
226,0.086,0.,0.086
227,0.087,0.,0.087
228,0.088,0.,0.088
229,0.09,0.,0.09
230,0.091,0.,0.091
231,0.086,0.003,0.082
232,0.087,0.,0.087
233,0.087,0.,0.087
234,0.087,0.,0.087
235,0.086,0.,0.086
236,0.086,0.,0.086
237,0.084,0.,0.084
238,0.083,0.,0.083
239,0.082,0.,0.082
240,0.092,0.,0.092
241,0.109,0.,0.109
242,0.108,0.,0.108
243,0.102,0.,0.102
244,0.095,0.,0.095
245,0.092,0.,0.092
246,0.092,0.,0.092
247,0.09,0.,0.09
248,0.102,0.,0.102
249,0.107,0.,0.107
250,0.107,0.,0.107
251,0.107,0.003,0.103
252,0.098,0.,0.098
253,0.094,0.,0.094
254,0.103,0.,0.103
255,0.107,0.,0.107
256,0.108,0.,0.107
257,0.098,0.,0.098
258,0.106,0.,0.106
259,0.107,0.,0.107
260,0.111,0.,0.111
261,0.123,0.,0.123
262,0.129,0.,0.129
263,0.108,0.,0.108
264,0.108,0.,0.108
265,0.121,0.,0.121
266,0.115,0.,0.115
267,0.108,0.,0.108
268,0.114,0.,0.114
269,0.117,0.,0.117
270,0.118,0.,0.118
271,0.118,0.,0.118
272,0.117,0.,0.117
273,0.114,0.,0.114
274,0.122,0.,0.122
275,0.12,0.002,0.118
276,0.121,0.,0.121
277,0.123,0.,0.123
278,0.134,0.,0.134
279,0.121,0.,0.121
280,0.146,0.,0.146
281,0.129,0.,0.129
282,0.146,0.,0.146
283,0.131,0.,0.131
284,0.122,0.,0.122
285,0.13,0.,0.13
286,0.134,0.,0.134
287,0.131,0.,0.131
288,0.135,0.,0.135
289,0.131,0.,0.131
290,0.133,0.,0.133
291,0.13,0.,0.13
292,0.136,0.,0.136
293,0.132,0.,0.132
294,0.132,0.,0.132
295,0.152,0.,0.152
296,0.149,0.,0.149
297,0.141,0.001,0.139
298,0.156,0.,0.156
299,0.135,0.,0.135
300,0.145,0.,0.145
305,0.151,0.,0.151
310,0.152,0.,0.152
315,0.153,0.,0.153
320,0.168,0.,0.168
325,0.177,0.,0.177
330,0.183,0.,0.183
335,0.186,0.,0.186
340,0.198,0.,0.198
345,0.197,0.,0.197
350,0.205,0.,0.205
355,0.218,0.,0.218
360,0.193,0.,0.193
365,0.221,0.003,0.217
370,0.234,0.,0.234
375,0.232,0.007,0.224
380,0.236,0.,0.236
385,0.234,0.,0.234
390,0.251,0.,0.251
395,0.286,0.,0.286
400,0.273,0.,0.273
410,0.271,0.,0.271
420,0.29,0.,0.29
430,0.297,0.,0.297
440,0.308,0.,0.308
450,0.323,0.,0.323
460,0.363,0.,0.363
470,0.347,0.,0.347
480,0.364,0.,0.364
490,0.377,0.,0.377
500,0.393,0.,0.393
550,0.511,0.,0.511
600,0.583,0.,0.583
650,0.679,0.,0.679
700,0.803,0.,0.803
750,0.892,0.,0.892
800,1.016,0.,1.016
850,1.198,0.003,1.195
900,1.302,0.,1.302
950,1.427,0.019,1.407
1000,1.629,0.008,1.621
1100,1.896,0.,1.896
1200,2.292,0.,2.292
1300,2.667,0.011,2.655
1400,3.254,0.,3.254
1500,3.573,0.011,3.561
1600,4.076,0.035,4.04
1700,4.51,0.,4.51
1800,5.48,0.,5.48
1900,5.762,0.019,5.742
