param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,check-real,check-sys,check-user,refine-real,refine-sys,refine-user,type-real,type-sys,type-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
5,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.
6,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,0.,0.,0.,0.003,0.001,0.001,0.001,0.001,0.,0.001,0.,0.001,0.001,0.,0.001
8,0.,0.,0.,0.006,0.002,0.003,0.002,0.,0.002,0.002,0.001,0.001,0.002,0.002,0.
9,0.,0.,0.,0.011,0.003,0.007,0.005,0.003,0.001,0.054,0.003,0.051,0.005,0.,0.004
10,0.,0.,0.,0.012,0.,0.012,0.006,0.,0.006,0.006,0.,0.006,0.005,0.,0.005
11,0.,0.,0.,0.026,0.,0.025,0.012,0.,0.012,0.013,0.,0.013,0.012,0.,0.012
12,0.,0.,0.,0.054,0.,0.054,0.026,0.,0.026,0.026,0.,0.026,0.026,0.,0.026
13,0.001,0.,0.001,0.111,0.,0.111,0.055,0.,0.055,0.058,0.,0.058,0.055,0.,0.055
14,0.001,0.,0.001,0.257,0.,0.257,0.121,0.,0.121,0.124,0.,0.124,0.134,0.,0.134
15,0.002,0.,0.002,0.505,0.,0.505,0.253,0.,0.253,0.26,0.,0.26,0.248,0.,0.248
16,0.005,0.,0.005,1.08,0.,1.08,0.557,0.,0.557,0.541,0.,0.541,0.517,0.,0.517
17,0.009,0.,0.009,2.14,0.011,2.129,1.068,0.,1.068,1.064,0.,1.064,1.062,0.011,1.051
18,0.017,0.,0.017,4.427,0.011,4.415,2.192,0.007,2.184,2.201,0.004,2.197,2.217,0.004,2.213
19,0.035,0.,0.035,8.988,0.,8.987,4.522,0.,4.522,4.527,0.,4.527,4.43,0.,4.43
20,0.069,0.,0.069,18.74,0.019,18.717,9.343,0.015,9.324,9.278,0.019,9.258,9.327,0.003,9.323
21,0.137,0.,0.137,38.365,0.071,38.292,18.982,0.027,18.954,20.048,0.019,20.028,19.244,0.043,19.199
22,0.347,0.015,0.33,78.736,0.187,78.453,39.543,0.075,39.42,38.735,0.02,38.678,38.845,0.095,38.702
