param-n,open-constr-True-1000-real,open-constr-True-1000-sys,open-constr-True-1000-user
211,0.146,0.,0.146
212,0.149,0.,0.149
213,0.097,0.,0.097
214,0.109,0.,0.109
215,0.087,0.,0.087
216,0.101,0.,0.101
217,0.087,0.,0.087
218,0.089,0.,0.089
219,0.106,0.,0.106
220,0.103,0.,0.103
221,0.091,0.,0.091
222,0.104,0.,0.104
223,0.103,0.,0.103
224,0.09,0.,0.09
225,0.103,0.,0.103
226,0.141,0.,0.141
227,0.118,0.,0.118
228,0.102,0.,0.102
229,0.132,0.,0.132
230,0.118,0.,0.118
231,0.175,0.,0.175
232,0.159,0.,0.159
233,0.103,0.,0.103
234,0.134,0.,0.134
235,0.094,0.,0.094
236,0.104,0.,0.104
237,0.113,0.,0.113
238,0.152,0.,0.152
239,0.123,0.,0.123
240,0.105,0.,0.105
241,0.131,0.,0.131
242,0.117,0.,0.117
243,0.1,0.,0.1
244,0.109,0.,0.109
245,0.116,0.,0.116
246,0.111,0.,0.111
247,0.161,0.,0.161
248,0.156,0.,0.156
249,0.105,0.,0.105
250,0.112,0.,0.112
251,0.14,0.,0.14
252,0.099,0.,0.099
253,0.1,0.,0.1
254,0.119,0.,0.119
255,0.123,0.,0.123
256,0.157,0.,0.157
257,0.129,0.,0.129
258,0.112,0.,0.112
259,0.119,0.,0.119
260,0.144,0.,0.144
261,0.163,0.,0.163
262,0.126,0.,0.126
263,0.192,0.,0.192
264,0.145,0.,0.145
265,0.107,0.003,0.103
266,0.128,0.,0.128
267,0.126,0.,0.126
268,0.16,0.,0.16
269,0.133,0.,0.133
270,0.108,0.,0.108
271,0.126,0.,0.126
272,0.125,0.,0.125
273,0.151,0.,0.151
274,0.156,0.,0.156
275,0.126,0.,0.126
276,0.18,0.,0.18
277,0.199,0.007,0.191
278,0.113,0.,0.113
279,0.112,0.,0.112
280,0.127,0.,0.127
281,0.127,0.,0.127
282,0.136,0.,0.136
283,0.166,0.,0.166
284,0.182,0.,0.182
285,0.156,0.,0.156
286,0.19,0.,0.19
287,0.206,0.,0.206
288,0.186,0.,0.186
289,0.113,0.,0.113
290,0.12,0.,0.12
291,0.133,0.003,0.129
292,0.144,0.,0.144
293,0.141,0.,0.141
294,0.167,0.,0.167
295,0.171,0.,0.171
296,0.183,0.,0.183
297,0.181,0.,0.181
298,0.138,0.,0.138
299,0.193,0.,0.193
300,0.209,0.004,0.205
302,0.119,0.,0.119
304,0.098,0.,0.098
306,0.105,0.003,0.101
308,0.113,0.,0.113
310,0.121,0.008,0.113
312,0.127,0.003,0.123
314,0.132,0.,0.132
316,0.165,0.008,0.157
318,0.222,0.011,0.211
320,0.238,0.012,0.226
322,0.183,0.011,0.171
324,0.174,0.011,0.162
326,0.207,0.003,0.203
328,0.212,0.008,0.204
330,0.198,0.,0.198
332,0.17,0.,0.17
334,0.155,0.,0.155
336,0.145,0.,0.145
338,0.128,0.,0.128
340,0.136,0.,0.136
342,0.134,0.,0.134
344,0.129,0.,0.129
346,0.125,0.,0.125
348,0.182,0.,0.182
350,0.215,0.,0.215
352,0.376,0.,0.376
354,0.168,0.,0.168
356,0.151,0.,0.151
358,0.135,0.,0.135
360,0.182,0.,0.182
362,0.238,0.,0.238
364,0.166,0.,0.166
366,0.171,0.,0.171
368,0.157,0.,0.157
370,0.156,0.,0.156
372,0.145,0.,0.145
374,0.193,0.,0.193
376,0.2,0.,0.2
378,0.164,0.,0.164
380,0.2,0.,0.2
