param-n,build-real,build-sys,build-user,build-and-refine-real,build-and-refine-sys,build-and-refine-user,refine-real,refine-sys,refine-user,to-constr-real,to-constr-sys,to-constr-user,type-of-real,type-of-sys,type-of-user
8600,0.197,0.007,0.189,3.101,0.055,3.045,0.497,0.,0.497,1.416,0.048,1.368,0.989,0.,0.989
8700,0.189,0.,0.189,3.787,0.052,3.735,0.508,0.,0.508,1.987,0.051,1.935,1.102,0.,1.102
8800,0.224,0.,0.224,3.122,0.,3.122,0.523,0.,0.523,1.338,0.,1.338,1.035,0.,1.035
8900,0.203,0.,0.203,3.3,0.083,3.216,0.527,0.,0.527,0.82,0.083,0.736,1.748,0.,1.748
9000,0.21,0.004,0.206,3.144,0.056,3.088,0.543,0.,0.543,1.264,0.052,1.212,1.125,0.,1.125
9100,0.232,0.003,0.228,3.061,0.067,2.993,0.557,0.,0.557,0.993,0.064,0.929,1.277,0.,1.277
9200,0.205,0.,0.205,3.707,0.075,3.631,0.574,0.,0.574,1.788,0.075,1.711,1.139,0.,1.139
9300,0.221,0.,0.221,3.392,0.012,3.38,0.585,0.,0.585,0.807,0.007,0.799,1.777,0.004,1.773
9400,0.259,0.003,0.255,3.603,0.091,3.511,0.596,0.,0.596,1.563,0.087,1.475,1.183,0.,1.183
9500,0.24,0.011,0.228,3.799,0.116,3.683,0.613,0.,0.613,0.913,0.104,0.809,2.031,0.,2.031
9600,0.214,0.,0.214,3.724,0.024,3.7,0.623,0.,0.623,1.489,0.023,1.465,1.396,0.,1.396
9700,0.228,0.,0.228,3.898,0.031,3.866,0.634,0.,0.634,0.926,0.027,0.898,2.108,0.004,2.104
9800,0.218,0.003,0.214,4.339,0.052,4.287,0.651,0.,0.651,2.17,0.048,2.122,1.297,0.,1.297
9900,0.214,0.,0.214,4.115,0.04,4.075,0.667,0.,0.667,0.959,0.039,0.919,2.274,0.,2.274
10000,0.233,0.,0.233,4.066,0.067,3.998,0.683,0.,0.683,1.787,0.067,1.719,1.362,0.,1.362
10100,0.255,0.011,0.244,4.303,0.075,4.227,0.695,0.,0.695,1.048,0.064,0.984,2.302,0.,2.302
10200,0.968,0.059,0.908,4.771,0.06,4.711,0.709,0.,0.709,1.668,0.,1.668,1.424,0.,1.424
10300,0.26,0.003,0.256,4.541,0.087,4.453,0.721,0.,0.721,1.09,0.083,1.006,2.468,0.,2.468
10400,0.322,0.003,0.318,4.282,0.072,4.209,0.734,0.,0.734,1.741,0.068,1.673,1.483,0.,1.483
10500,0.264,0.015,0.248,4.647,0.083,4.563,0.754,0.,0.754,1.112,0.067,1.044,2.516,0.,2.516
