param-n,assert-real,assert-sys,assert-user,build-real,build-sys,build-user,cbn-real,cbn-sys,cbn-user,destruct-real,destruct-sys,destruct-user,record-real,record-sys,record-user
161,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.073,0.,0.073
162,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.073,0.,0.073
163,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.076,0.,0.076
164,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.076,0.,0.076
165,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.076,0.,0.076
166,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.077,0.,0.077
167,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.079,0.,0.078
168,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.08,0.,0.079
169,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.079,0.,0.079
170,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.089,0.,0.089
171,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.081,0.,0.081
172,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.567,0.011,0.555
173,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.082,0.,0.082
174,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.082,0.,0.082
175,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.083,0.,0.083
176,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.017,0.,0.017,0.084,0.,0.084
177,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.017,0.,0.017,0.086,0.,0.086
178,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.017,0.,0.017,0.087,0.,0.087
179,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.017,0.,0.017,0.088,0.,0.088
180,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.089,0.,0.088
181,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.017,0.,0.017,0.089,0.,0.089
182,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.092,0.,0.091
183,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.093,0.,0.093
