param-n,cbn-real,cbn-sys,cbn-user,repeat-destruct-real,repeat-destruct-sys,repeat-destruct-user
0,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.
3,0.,0.,0.,0.001,0.,0.001
4,0.,0.,0.,0.002,0.,0.002
5,0.,0.,0.,0.003,0.,0.003
6,0.,0.,0.,0.005,0.004,0.001
7,0.,0.,0.,0.007,0.007,0.
8,0.,0.,0.,0.009,0.003,0.006
9,0.,0.,0.,0.066,0.,0.066
10,0.,0.,0.,0.009,0.,0.009
11,0.,0.,0.,0.012,0.,0.012
12,0.,0.,0.,0.015,0.,0.015
13,0.,0.,0.,0.02,0.,0.02
14,0.,0.,0.,0.022,0.,0.022
15,0.,0.,0.,0.028,0.,0.028
16,0.,0.,0.,0.033,0.,0.033
17,0.,0.,0.,0.04,0.,0.039
18,0.,0.,0.,0.046,0.,0.046
19,0.,0.,0.,0.055,0.,0.055
20,0.,0.,0.,0.062,0.,0.062
21,0.,0.,0.,0.074,0.,0.074
22,0.,0.,0.,0.086,0.,0.086
23,0.,0.,0.,0.097,0.,0.097
24,0.,0.,0.,0.111,0.,0.111
25,0.,0.,0.,0.126,0.,0.126
26,0.,0.,0.,0.138,0.,0.138
27,0.,0.,0.,0.155,0.,0.155
28,0.,0.,0.,0.173,0.,0.173
29,0.,0.,0.,0.192,0.,0.192
30,0.,0.,0.,0.281,0.023,0.258
31,0.,0.,0.,0.232,0.,0.232
32,0.,0.,0.,0.259,0.,0.259
33,0.,0.,0.,0.283,0.003,0.279
34,0.,0.,0.,0.306,0.003,0.302
35,0.,0.,0.,0.336,0.,0.336
36,0.,0.,0.,0.367,0.,0.367
37,0.,0.,0.,0.405,0.,0.405
38,0.,0.,0.,0.437,0.,0.437
39,0.,0.,0.,0.469,0.003,0.465
40,0.,0.,0.,0.511,0.,0.511
41,0.,0.,0.,0.549,0.,0.549
42,0.,0.,0.,0.591,0.,0.591
43,0.,0.,0.,0.635,0.,0.635
44,0.,0.,0.,0.683,0.,0.683
45,0.,0.,0.,0.729,0.,0.729
46,0.,0.,0.,0.79,0.003,0.786
47,0.,0.,0.,0.855,0.003,0.85
48,0.,0.,0.,0.917,0.004,0.913
49,0.,0.,0.,0.99,0.003,0.987
50,0.,0.,0.,1.056,0.003,1.052
51,0.,0.,0.,1.111,0.007,1.103
52,0.,0.,0.,1.176,0.004,1.172
53,0.,0.,0.,1.237,0.007,1.229
54,0.,0.,0.,1.313,0.007,1.305
55,0.,0.,0.,1.397,0.004,1.393
56,0.,0.,0.,1.46,0.003,1.456
57,0.,0.,0.,1.567,0.,1.567
58,0.,0.,0.,1.683,0.003,1.679
59,0.,0.,0.,1.765,0.,1.765
60,0.,0.,0.,1.876,0.,1.876
61,0.,0.,0.,1.969,0.,1.969
62,0.,0.,0.,2.068,0.007,2.06
63,0.,0.,0.,2.225,0.003,2.221
64,0.,0.,0.,2.319,0.,2.319
