param-n build-and-open-real build-and-open-sys build-and-open-user open-constr-real open-constr-sys open-constr-user uconstr-real uconstr-sys uconstr-user
98 0.005 0. 0.005 0.003 0. 0.003 0.001 0. 0.001
99 0.005 0. 0.005 0.003 0. 0.003 0.001 0. 0.001
100 0.005 0. 0.005 0.004 0. 0.004 0.001 0. 0.001
101 0.005 0. 0.005 0.003 0. 0.003 0.001 0. 0.001
102 0.005 0. 0.005 0.003 0. 0.003 0.001 0. 0.001
103 0.005 0. 0.005 0.003 0. 0.003 0.001 0. 0.001
104 0.005 0. 0.005 0.004 0. 0.004 0.001 0. 0.001
105 0.006 0. 0.006 0.004 0. 0.004 0.001 0. 0.001
106 0.005 0. 0.005 0.004 0. 0.004 0.001 0. 0.001
107 0.005 0. 0.005 0.004 0. 0.004 0.001 0. 0.001
108 0.005 0. 0.005 0.004 0. 0.004 0.001 0. 0.001
109 0.005 0. 0.005 0.004 0. 0.004 0.001 0. 0.001
110 0.006 0. 0.006 0.004 0. 0.004 0.001 0. 0.001
111 0.006 0. 0.006 0.004 0. 0.004 0.001 0. 0.001
112 0.006 0. 0.006 0.004 0. 0.004 0.001 0. 0.001
113 0.006 0. 0.006 0.004 0. 0.004 0.002 0. 0.002
114 0.006 0. 0.006 0.004 0. 0.004 0.001 0. 0.001
115 0.006 0. 0.006 0.004 0. 0.004 0.001 0. 0.001
116 0.006 0. 0.006 0.004 0. 0.004 0.001 0. 0.001
117 0.006 0. 0.006 0.005 0. 0.005 0.001 0. 0.001
118 0.006 0. 0.006 0.005 0. 0.005 0.001 0. 0.001
119 0.006 0. 0.006 0.005 0. 0.005 0.001 0. 0.001
120 0.007 0. 0.007 0.005 0. 0.005 0.001 0. 0.001
121 0.007 0. 0.007 0.005 0. 0.005 0.001 0. 0.001
122 0.007 0. 0.007 0.005 0. 0.005 0.001 0. 0.001
123 0.007 0. 0.007 0.005 0. 0.005 0.001 0. 0.001
124 0.007 0. 0.007 0.005 0. 0.005 0.001 0. 0.001
125 0.007 0. 0.007 0.005 0. 0.005 0.001 0. 0.001
126 0.007 0. 0.007 0.005 0. 0.005 0.001 0. 0.001
127 0.008 0. 0.008 0.005 0. 0.005 0.002 0. 0.002
128 0.007 0. 0.007 0.005 0. 0.005 0.001 0. 0.001
129 0.007 0. 0.007 0.006 0. 0.006 0.001 0. 0.001
130 0.008 0. 0.008 0.006 0. 0.006 0.001 0. 0.001
131 0.008 0. 0.008 0.006 0. 0.006 0.001 0. 0.001
132 0.008 0. 0.008 0.006 0. 0.006 0.001 0. 0.001
133 0.008 0. 0.008 0.006 0. 0.006 0.001 0. 0.001
134 0.008 0. 0.008 0.006 0. 0.006 0.001 0. 0.001
135 0.008 0. 0.008 0.006 0. 0.006 0.001 0. 0.001
136 0.008 0. 0.008 0.006 0. 0.006 0.001 0. 0.001
137 0.008 0. 0.008 0.006 0. 0.006 0.001 0. 0.001
138 0.008 0. 0.008 0.006 0. 0.006 0.001 0. 0.001
139 0.01 0. 0.01 0.007 0. 0.007 0.001 0. 0.001
140 0.009 0. 0.009 0.007 0. 0.007 0.002 0. 0.001
141 0.009 0. 0.009 0.007 0. 0.007 0.002 0. 0.002
142 0.009 0. 0.009 0.007 0. 0.007 0.002 0. 0.002
143 0.009 0. 0.009 0.007 0. 0.007 0.002 0. 0.002
144 0.009 0. 0.009 0.007 0. 0.007 0.002 0. 0.002
145 0.012 0. 0.012 0.007 0. 0.007 0.004 0. 0.004
146 0.009 0. 0.009 0.007 0. 0.007 0.002 0. 0.002
147 0.01 0. 0.01 0.007 0. 0.007 0.002 0. 0.002
148 0.01 0. 0.01 0.007 0. 0.007 0.002 0. 0.002
149 0.01 0. 0.01 0.007 0. 0.007 0.002 0. 0.002
150 0.01 0. 0.01 0.007 0. 0.007 0.002 0. 0.002
151 0.01 0. 0.01 0.008 0. 0.008 0.002 0. 0.002
152 0.01 0. 0.01 0.008 0. 0.008 0.002 0. 0.002
153 0.01 0. 0.01 0.008 0. 0.008 0.002 0. 0.002
154 0.01 0. 0.01 0.008 0. 0.008 0.002 0. 0.002
155 0.011 0. 0.011 0.008 0. 0.008 0.002 0. 0.002
156 0.011 0. 0.011 0.008 0. 0.008 0.002 0. 0.002
157 0.011 0. 0.011 0.008 0. 0.008 0.002 0. 0.002
158 0.011 0. 0.011 0.009 0. 0.009 0.002 0. 0.002
159 0.011 0. 0.011 0.009 0. 0.009 0.002 0. 0.002
160 0.011 0.003 0.007 0.009 0.001 0.007 0.002 0.002 0.
161 0.011 0. 0.011 0.009 0. 0.009 0.002 0. 0.002
162 0.011 0. 0.011 0.009 0. 0.009 0.002 0. 0.002
163 0.011 0. 0.011 0.009 0. 0.009 0.002 0. 0.002
164 0.013 0. 0.013 0.01 0. 0.01 0.002 0. 0.002
165 0.012 0. 0.012 0.009 0. 0.009 0.002 0. 0.002
166 0.012 0. 0.012 0.009 0. 0.009 0.002 0. 0.002
167 0.012 0. 0.012 0.009 0. 0.009 0.002 0. 0.002
168 0.012 0. 0.012 0.01 0. 0.01 0.002 0. 0.002
169 0.013 0. 0.013 0.01 0. 0.01 0.002 0. 0.002
170 0.012 0. 0.012 0.01 0. 0.01 0.002 0. 0.002
171 0.013 0. 0.013 0.01 0. 0.01 0.002 0. 0.002
172 0.013 0. 0.013 0.01 0. 0.01 0.002 0. 0.002
173 0.014 0. 0.014 0.01 0. 0.01 0.003 0. 0.003
174 0.013 0. 0.013 0.01 0. 0.01 0.002 0. 0.002
175 0.013 0. 0.013 0.01 0. 0.01 0.002 0. 0.002
176 0.013 0. 0.013 0.011 0. 0.011 0.002 0. 0.002
177 0.014 0. 0.014 0.011 0. 0.011 0.002 0. 0.002
178 0.014 0. 0.014 0.011 0. 0.011 0.002 0. 0.002
179 0.014 0. 0.014 0.011 0. 0.011 0.002 0. 0.002
180 0.014 0. 0.014 0.011 0. 0.011 0.002 0. 0.002
181 0.015 0. 0.015 0.011 0. 0.011 0.004 0. 0.004
182 0.014 0. 0.014 0.011 0. 0.011 0.002 0. 0.002
183 0.015 0. 0.015 0.012 0. 0.012 0.002 0. 0.002
184 0.014 0. 0.014 0.012 0. 0.012 0.002 0. 0.002
185 0.015 0. 0.015 0.012 0. 0.012 0.003 0. 0.003
186 0.015 0. 0.015 0.012 0. 0.012 0.002 0. 0.002
187 0.015 0. 0.015 0.012 0. 0.012 0.002 0. 0.002
