param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user check-real check-sys check-user refine-real refine-sys refine-user type-real type-sys type-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
10 0.001 0. 0. 0.003 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
20 0.001 0. 0.001 0.009 0.006 0.002 0.003 0.003 0. 0.003 0. 0.003 0.003 0.003 0.
30 0.002 0. 0.002 0.018 0.004 0.013 0.007 0.003 0.004 0.073 0.003 0.069 0.007 0. 0.006
40 0.001 0. 0.001 0.016 0. 0.016 0.007 0. 0.007 0.007 0. 0.007 0.007 0. 0.007
50 0.002 0. 0.002 0.026 0.003 0.022 0.011 0. 0.011 0.011 0. 0.011 0.012 0.003 0.009
60 0.002 0. 0.002 0.034 0. 0.034 0.016 0. 0.016 0.015 0. 0.015 0.015 0. 0.015
70 0.002 0. 0.002 0.045 0. 0.045 0.021 0. 0.021 0.02 0. 0.02 0.02 0. 0.02
80 0.003 0. 0.003 0.058 0.003 0.054 0.026 0. 0.026 0.026 0. 0.026 0.027 0.003 0.023
90 0.004 0. 0.004 0.072 0. 0.072 0.033 0. 0.033 0.035 0. 0.035 0.034 0. 0.034
100 0.003 0. 0.003 0.092 0.003 0.088 0.044 0.003 0.04 0.043 0. 0.043 0.044 0. 0.044
110 0.003 0. 0.003 0.108 0. 0.108 0.053 0. 0.053 0.052 0. 0.052 0.051 0. 0.051
120 0.004 0. 0.004 0.132 0. 0.132 0.063 0. 0.063 0.063 0. 0.063 0.064 0. 0.064
130 0.004 0. 0.004 0.147 0. 0.147 0.072 0. 0.072 0.073 0. 0.073 0.07 0. 0.07
140 0.01 0. 0.01 0.183 0.003 0.18 0.085 0.003 0.081 0.087 0. 0.087 0.088 0. 0.088
150 0.005 0. 0.005 0.207 0. 0.207 0.101 0. 0.101 0.1 0. 0.1 0.101 0. 0.101
160 0.005 0. 0.005 0.228 0. 0.228 0.111 0. 0.111 0.116 0. 0.116 0.111 0. 0.111
170 0.006 0. 0.006 0.258 0. 0.258 0.128 0. 0.128 0.129 0. 0.129 0.124 0. 0.124
180 0.006 0. 0.006 0.291 0. 0.291 0.14 0. 0.14 0.142 0. 0.142 0.144 0. 0.144
190 0.011 0. 0.011 0.323 0. 0.323 0.157 0. 0.156 0.156 0. 0.156 0.155 0. 0.155
200 0.007 0. 0.007 0.351 0. 0.351 0.172 0. 0.172 0.173 0. 0.173 0.171 0. 0.171
210 0.007 0. 0.007 0.388 0. 0.388 0.189 0. 0.189 0.191 0. 0.191 0.19 0. 0.19
220 0.007 0. 0.007 0.419 0.003 0.415 0.203 0. 0.203 0.212 0. 0.21 0.207 0.003 0.203
230 0.012 0. 0.012 0.455 0.003 0.452 0.219 0. 0.219 0.224 0. 0.224 0.224 0.003 0.22
240 0.009 0. 0.009 0.497 0. 0.497 0.243 0. 0.242 0.245 0. 0.245 0.244 0. 0.244
250 0.008 0. 0.008 0.553 0. 0.553 0.269 0. 0.269 0.275 0. 0.275 0.275 0. 0.275
260 0.009 0. 0.009 0.595 0. 0.595 0.295 0. 0.295 0.29 0. 0.29 0.291 0. 0.291
270 0.012 0. 0.012 0.642 0. 0.642 0.31 0. 0.31 0.317 0. 0.317 0.318 0. 0.318
280 0.009 0. 0.009 0.678 0.003 0.674 0.336 0. 0.336 0.331 0. 0.331 0.332 0.003 0.328
