param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,refine-real,refine-sys,refine-user,typecheck-real,typecheck-sys,typecheck-user
111,0.004,0.,0.004,0.006,0.,0.006,0.001,0.,0.001,0.001,0.,0.001
112,0.004,0.,0.004,0.006,0.,0.006,0.001,0.,0.001,0.001,0.,0.001
113,0.004,0.,0.004,0.006,0.,0.006,0.001,0.,0.001,0.001,0.,0.001
114,0.004,0.,0.004,0.006,0.,0.006,0.001,0.,0.001,0.001,0.,0.001
115,0.005,0.,0.005,0.006,0.,0.006,0.002,0.,0.002,0.001,0.,0.001
116,0.005,0.,0.005,0.007,0.,0.007,0.001,0.,0.001,0.001,0.,0.001
117,0.005,0.,0.005,0.007,0.,0.007,0.001,0.,0.001,0.001,0.,0.001
118,0.004,0.,0.004,0.006,0.,0.006,0.001,0.,0.001,0.001,0.,0.001
119,0.005,0.,0.005,0.007,0.,0.007,0.001,0.,0.001,0.001,0.,0.001
120,0.005,0.,0.005,0.007,0.,0.007,0.001,0.,0.001,0.001,0.,0.001
121,0.005,0.,0.005,0.007,0.,0.007,0.001,0.,0.001,0.001,0.,0.001
122,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.001,0.,0.001
123,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.001,0.,0.001
124,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.001,0.,0.001
125,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.002,0.,0.001
126,0.006,0.,0.006,0.008,0.,0.008,0.001,0.,0.001,0.001,0.,0.001
127,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.001,0.,0.001
128,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.002,0.,0.001
129,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.002,0.,0.002
130,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.002,0.,0.002
131,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.002,0.,0.002
132,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.002,0.,0.002
133,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
134,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.002,0.,0.002
135,0.005,0.,0.005,0.007,0.,0.007,0.002,0.,0.002,0.002,0.,0.002
136,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
137,0.005,0.,0.005,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
138,0.005,0.,0.005,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
